"GENEID","SYMBOL","tpm_counts"
"ENSG00000210082","MT-RNR2",20163.1632795895
"ENSG00000251562, ENSG00000278217","MALAT1",20117.1880761469
"ENSG00000198938","MT-CO3",16415.028342349
"ENSG00000198712","MT-CO2",15416.4457367552
"ENSG00000198840","MT-ND3",11630.4769824083
"ENSG00000104435","STMN2",7420.48454588925
"ENSG00000006128","TAC1",5869.62030775442
"ENSG00000198804","MT-CO1",5241.29028519645
"ENSG00000175602","CCDC85B",5187.55951502067
"ENSG00000211459","MT-RNR1",4862.088438984
"ENSG00000198899","MT-ATP6",4465.17600934205
"ENSG00000034510","TMSB10",4458.88947344477
"ENSG00000104722","NEFM",4322.90103629352
"ENSG00000131711","MAP1B",4210.12210937135
"ENSG00000185774, ENSG00000281758","KCNIP4",3994.15610638718
"ENSG00000170027","YWHAG",3779.45309531962
"ENSG00000277586","NEFL",3663.73777219202
"ENSG00000184524","CEND1",3214.57478068687
"ENSG00000197746","PSAP",3002.02403097927
"ENSG00000089220","PEBP1",2999.23844785775
"ENSG00000198886","MT-ND4",2904.84501571168
"ENSG00000243449","C4orf48",2628.00367795347
"ENSG00000205542","TMSB4X",2543.69597800128
"ENSG00000198888","MT-ND1",2500.88006065425
"ENSG00000212907","MT-ND4L",2476.91410306704
"ENSG00000158710","TAGLN2",2455.45245289532
"ENSG00000179399","GPC5",2446.01353637827
"ENSG00000173267","SNCG",2300.27160769686
"ENSG00000198695","MT-ND6",2242.43771552597
"ENSG00000096384","HSP90AB1",2235.8063955836
"ENSG00000100285","NEFH",2182.244840983
"ENSG00000268797","CTC-490E21.12",2118.15716108465
"ENSG00000198763","MT-ND2",2079.55417086793
"ENSG00000278996","CH507-513H4.1",2015.12337518042
"ENSG00000154277","UCHL1",1851.41559000832
"ENSG00000198727","MT-CYB",1850.87405244119
"ENSG00000101460","MAP1LC3A",1847.31902831981
"ENSG00000197747","S100A10",1838.31751560261
"ENSG00000162188","GNG3",1817.2724911161
"ENSG00000171867","PRNP",1809.90433015125
"ENSG00000167552","TUBA1A",1805.79092983348
"ENSG00000183783","KCTD8",1693.26765455769
"ENSG00000264364","DYNLL2",1611.51688291576
"ENSG00000185737","NRG3",1580.73556560314
"ENSG00000164176","EDIL3",1557.47825104727
"ENSG00000232573","RPL3P4",1502.49631002373
"ENSG00000133169","BEX1",1480.85509515866
"ENSG00000239268","RP11-384F7.2",1463.55977385967
"ENSG00000236824","BCYRN1",1457.52493916958
"ENSG00000272398","CD24",1440.61738478545
"ENSG00000143862","ARL8A",1423.08025244503
"ENSG00000132563","REEP2",1410.75930935747
"ENSG00000117450","PRDX1",1408.41093135476
"ENSG00000160014","CALM3",1398.42955045083
"ENSG00000184009","ACTG1",1381.54534830768
"ENSG00000111404","RERGL",1370.22698254789
"ENSG00000228222","AC074363.1",1353.99823418388
"ENSG00000235450","RP11-142A5.1",1353.28772025901
"ENSG00000130522","JUND",1339.3000885002
"ENSG00000185565","LSAMP",1277.30580493919
"ENSG00000080824","HSP90AA1",1277.23553970886
"ENSG00000166681","BEX3",1222.96724679449
"ENSG00000115310","RTN4",1200.25218303608
"ENSG00000167996","FTH1",1178.3635829982
