"Name","Score"
"NRXN3",8.83331031218266e-10
"ENO2",8.94054341248438e-10
"TUBB",9.1481862050555e-10
"CCSER2",9.24377351464135e-10
"FASTK",9.75719157905686e-10
"NPTN",9.84502768831133e-10
"SHC2",9.93352174251701e-10
"EPB41L1",9.93352174251701e-10
"NKAIN2",1.01124994507348e-09
"OSBPL3",1.01124994507348e-09
"HRAS",1.03859995953243e-09
"ZFAND3",1.05717355035095e-09
"NELFB",1.05717355035095e-09
"SNX3",1.10482208685043e-09
"TMEM255A",1.16434975768897e-09
"KAZN",1.20550088448417e-09
"GNB2",1.22652654895801e-09
"FABP3",1.24785692727631e-09
"MAP4",1.25863748376835e-09
"NFE2L1",1.28043154733655e-09
"NAT8L",1.35920388896297e-09
"RPL3P4",1.3595135213357e-09
"RAB11B",1.55452571108711e-09
"TMOD1",1.6201543887272e-09
"EEF1A2",1.71590073470444e-09
"ACTN4",1.77269800546248e-09
"MT-ND5",1.77686641919649e-09
"TBC1D9",1.80167882176026e-09
"NDUFS5",1.88635120287689e-09
"SUMO3",1.88635120287689e-09
"STAC",1.92158248655295e-09
"C19orf43",1.96228899141466e-09
"ASPHD1",1.96822692796097e-09
"AC016739.2",1.99984437544409e-09
"SERINC3",2.01581111467254e-09
"CMPK1",2.04806342888191e-09
"USP22",2.06435013247803e-09
"RBMS1",2.11385924807336e-09
"PRDX5",2.12149483846830e-09
"CLTA",2.14741188996245e-09
"ATP5EP2",2.18140717169898e-09
"IDS",2.35818754205463e-09
"MAPT",2.46987133019574e-09
"AL592183.1",2.48890685612767e-09
"NMB",2.51759073481794e-09
"ARHGDIG",2.52734483495814e-09
"FLOT1",2.72703768965318e-09
"CNTNAP2",2.74771002098403e-09
"PJA2",2.83171017654634e-09
"FAM50A",2.87450601787458e-09
"DHCR24",2.91736238975321e-09
"ABLIM1",2.96171597521269e-09
"FBLL1",3.00614091104248e-09
"DYNLT3",3.05111976576501e-09
"MT2A",3.07381863347681e-09
"CLSTN1",3.11963871354839e-09
"NCOA7",3.14276131920265e-09
"TSHZ2",3.18943516434997e-09
"TMTC1",3.23668522166117e-09
"VSTM2B",3.35736865088591e-09
"GNB1",3.35736865088591e-09
"KLF7",3.38194964507595e-09
"SCAMP5",3.40668043152226e-09
"RP11-467H10.2",3.42613071919442e-09
"TBCB",3.43156173958269e-09
"SSBP3",3.48177885128508e-09
"CD63",3.53260686836767e-09
"RP11-745L13.2",3.66238865076383e-09
"ZFAND5",3.68881587811041e-09
"FBXO2",3.79611963382073e-09
"EHBP1",3.87829352079591e-09
"ATRNL1",3.9338953759358e-09
"ATP6V1E1",4.1337621670211e-09
"PYGB",4.1337621670211e-09
"EZR",4.2517215471159e-09
"RP11-624C23.1",4.28379589058339e-09
"TPPP3",4.37247272093924e-09
"FKBP2",4.37247272093924e-09
"DMTN",4.5274178685248e-09
"PCSK1N",4.75200682511905e-09
"DYNC1I1",4.85106084102613e-09
"ITFG1",4.9518295355709e-09
"STUB1",4.97208906553762e-09
"TSC22D3",4.98580422314916e-09
"DPYSL3",5.08889600845236e-09
"GDI1",5.19375806803443e-09
"CAP2",5.2291096639905e-09
"TXN",5.33636983254745e-09
"SNRNP70",5.48223000107228e-09
"PREPL",5.66921312562416e-09
"SCAND1",5.78393205167987e-09
"MAPRE2",6.01917973543438e-09
"CHCHD3",6.05915200970308e-09
"RHBDD2",6.51219706981849e-09
"MT1XP1",6.55633587549435e-09
"NUCKS1",6.77329440719778e-09
"MAPK1",7.08706166454588e-09
"HPRT1",7.31851922667915e-09
"PPP2CB",7.36555829348163e-09
"CBFB",7.46039254240246e-09
"EPB41L3",7.50818988022223e-09
"CD24",7.58243130429878e-09
"TMEFF2",7.60455039773306e-09
"RALYL",8.30836331264018e-09
"PALM",8.36064440383532e-09
"CLU",8.51913546099153e-09
"ATP5I",8.53605294086838e-09
"ERC2",8.68012238298824e-09
"ACTR10",8.73434473609436e-09
"CAMTA1",8.89870828712297e-09
"RP11-452H21.1",9.52360236978639e-09
"KIAA0930",9.52360236978639e-09
"PRDX3",9.70023308496915e-09
"C16orf45",9.75971312764315e-09
"GNAZ",9.81949679409658e-09
"MACROD2",9.81949679409658e-09
"NDUFA1",1.04975132643339e-08
"CALCA",1.07305501788256e-08
"ME1",1.08183506781725e-08
"HPCAL1",1.10808665304264e-08
"PCP4",1.11473183105773e-08
"CLIP2",1.11473183105773e-08
"JAKMIP1",1.13486695128426e-08
"MAP1LC3B",1.16218444716785e-08
"ARPC1A",1.16909876223532e-08
"CAMK2N2",1.18222031481687e-08
"RAC1",1.19004772703109e-08
"PAPSS1",1.19709984170514e-08
"PRKAR2B",1.20418674719663e-08
"ABHD2",1.2256575823428e-08
"ATP5D",1.24014795220611e-08
"KIF3A",1.27699967657888e-08
"SNAP25",1.27699967657888e-08
"SREBF2",1.30713401838034e-08
"NORAD",1.31766191656098e-08
"ZBTB7A",1.34563308991206e-08
"KCNJ12",1.34563308991206e-08
"GOLM1",1.36918272509625e-08
"CTIF",1.36918272509625e-08
"FAM174A",1.38507248762136e-08
"ATP1B3",1.39307481069854e-08
"B3GNT2",1.40919507821305e-08
"TIMP2",1.42547049614922e-08
"RHOA",1.4419022568177e-08
"ARPP19",1.44609190616756e-08
"DNAJB2",1.50066199338372e-08
"MAPK3",1.52385131210159e-08
"B3GAT3",1.5614037790921e-08
"MT-ATP8",1.58805585133737e-08
"C6orf1",1.60491642057029e-08
"MCRIP1",1.67965045217162e-08
"SYN2",1.68904707429767e-08
"FAM219A",1.69848746262373e-08
"CAMK1D",1.77560579926519e-08
"TRMT112",1.81524564800183e-08
"PAFAH1B2",1.87608642393073e-08
"PTPRG",1.87608642393073e-08
"INSIG1",1.89248019956393e-08
"EDF1",1.92807639030599e-08
"CYSTM1",1.92807639030599e-08
"KLC1",1.94015343502562e-08
"RCAN2",1.98126147004488e-08
"PPP3CB",2.02468470725476e-08
"FAM155A",2.04669194020785e-08
"CDIP1",2.05777008416031e-08
"CAPNS1",2.11391326685346e-08
"DNM3",2.12529366155816e-08
"ANXA5",2.18296445029933e-08
"SPPL3",2.19465365722125e-08
"MTPN",2.21980780746815e-08
"CHST8",2.23003470571391e-08
"CDS2",2.25388512442079e-08
"RPS6KA2",2.25388512442079e-08
"TPI1",2.27394530256978e-08
"CLSTN3",2.29005908098805e-08
"RAP1GDS1",2.30222404172821e-08
"AP1S1",2.32913262046947e-08
"HCG17",2.33904250538939e-08
"SCD5",2.35142382277576e-08
"bP-21201H5.1",2.37635035133526e-08
"XRCC6",2.40149668896391e-08
"MLLT11",2.46533437617945e-08
"REEP5",2.51741704154961e-08
"TMEM117",2.51741704154961e-08
"YWHAQ",2.55707796288599e-08
"S100A13",2.59087688694313e-08
"TOM1L2",2.59725822456385e-08
"MT-ND6",2.61076799073296e-08
"SNX10",2.62433626596474e-08
"OAT",2.63796325280004e-08
"SPIN1",2.65164915430508e-08
"CADPS",2.7632818365062e-08
"NEGR1",2.83502046580793e-08
"MYL6",2.84279168861053e-08
"NDRG4",2.84279168861053e-08
"SMYD3",2.84955279103271e-08
"ATP6V1A",2.87880372606951e-08
"SPTBN1",2.90830445390554e-08
"ACLY",2.92314902216131e-08
"FAM85B",2.97588220939345e-08
"TOMM34",2.98316031833571e-08
"CCNI",3.04426855852031e-08
"FRMD4A",3.09065048236129e-08
"USP5",3.10626636837056e-08
"VGF",3.15350908463603e-08
"GPX3",3.25699468743637e-08
"APLP2",3.26607512586732e-08
"PODXL2",3.29884484446807e-08
"SRPK2",3.29884484446807e-08
"DIRAS1",3.31533216567591e-08
"RPL8",3.33048295893311e-08
"SMIM10L2B",3.33188809818052e-08
"UBE2B",3.34851287021047e-08
"SARAF",3.39880251427743e-08
"MAML2",3.48401684496847e-08
"SLC44A2",3.51859738267819e-08
"PLCB3",3.53599461595769e-08
"GAPDH",3.60630213810638e-08
"NAP1L5",3.62405984875656e-08
"RIMS2",3.75041582915309e-08
"MAST1",3.7687627117065e-08
"FNBP1",3.7687627117065e-08
"CSNK1G2",3.78718432686358e-08
"RBX1",3.82425272889974e-08
"UBE2K",3.82425272889974e-08
"RBFOX2",3.88042192903083e-08
"ATP6V0A1",3.89929707053983e-08
"TUBB4B",4.0141620199616e-08
"PCBP4",4.03357751901855e-08
"ATP6V0B",4.09692648528622e-08
"MPPED2",4.1120239715333e-08
"CLASP1",4.17168957251069e-08
"TMEM120A",4.22984659940977e-08
"DYNLRB1",4.23207489357899e-08
"DGCR2",4.25236446784107e-08
"SPTAN1",4.35503246046775e-08
"COPRS",4.41240915313704e-08
"CPNE4",4.45975785154466e-08
"UBE2H",4.5450415545321e-08
"TTBK2",4.58819036962286e-08
"ANXA7",4.63168001066001e-08
"RNF11",4.6494068687832e-08
"CELF4",4.71969038198075e-08
"SEMA6D",4.74190936319976e-08
"B4GAT1",4.84623384892185e-08
"ADAM23",4.89989633214953e-08
"SLC9A9",4.94583253468893e-08
"WDR45B",5.01540937577724e-08
"NAP1L4",5.08579997075964e-08
"AGTPBP1",5.08579997075964e-08
"DOK4",5.13318286862208e-08
"GPC6",5.13318286862208e-08
"YPEL3",5.20666182343461e-08
"USP11",5.35098426702949e-08
"SCOC",5.42203636152916e-08
"UBE2D2",5.73108565013105e-08
"GS1-114I9.3",5.83616001505321e-08
"RERGL",5.87413156742009e-08
"CHMP4B",5.96975593363695e-08
"JUP",6.05112965582212e-08
"FKBP8",6.13342562302579e-08
"CTNND2",6.18880607712877e-08
"PGRMC1",6.23256305996031e-08
"BORCS6",6.23256305996031e-08
"CKB",6.24460261059639e-08
"JOSD2",6.3558456613769e-08
"MTX2",6.41451371424122e-08
"CIRBP",6.41821311309458e-08
"CCDC92",6.47199964847025e-08
"NECAB1",6.50090321027342e-08
"RP11-664H17.1",6.54441450358703e-08
"GCAT",6.55903311744278e-08
"VAV2",6.55903311744278e-08
"BRSK1",6.64703974100754e-08
"RP11-289H16.1",6.67659303831348e-08
"MBNL1",6.85622191739319e-08
"NRCAM",6.91698568530422e-08
"SNAP91",6.91698568530422e-08
"RP11-82O19.1",6.93495700994655e-08
"RUFY3",6.94753544508837e-08
"DYNC1I2",7.00897236437302e-08
"PPP2R2B",7.03986018527825e-08
"ALDOA",7.13708714181177e-08
"ELAVL3",7.13708714181177e-08
"CACNA1B",7.1960061961718e-08
"TPRG1L",7.20549953979347e-08
"SRPX",7.25926739472633e-08
"TMUB1",7.35502773401636e-08
"SEZ6L2",7.41945093590323e-08
"ATP8A1",7.48434369233541e-08
"CAMSAP2",7.51696700739445e-08
"KIF1A",7.64864785532586e-08
"GPX2",7.69919200185784e-08
"SV2C",7.74866512118175e-08
"KLHDC3",7.84976991333127e-08
"BCAS4",7.91778194836851e-08
"MRPS21",8.44369835964064e-08
"NAPB",8.51596924514767e-08
"FAM19A1",8.51596924514767e-08
"BEX2",8.58875487812288e-08
"DNAJC6",8.58875487812288e-08
"ROBO2",8.62534163969003e-08
"DPYSL5",8.62534163969003e-08
"ZNF358",8.68756445400204e-08
"CH17-125A10.2",8.6944619592822e-08
"SYT9",8.73588211436478e-08
"TBCA",8.81022961281247e-08
"LINC-PINT",8.84760062785796e-08
"AQP1",8.88510364916128e-08
"NAP1L3",8.92273904948956e-08
"RP11-1000B6.3",9.15135238548439e-08
"ABHD15-AS1",9.17663708681409e-08
"BRK1",9.4292834140756e-08
"ATXN7L3",9.50341144267746e-08
"DOCK3",9.54321625090096e-08
"EXOSC6",9.58315989680534e-08
"HTRA1",9.62324276752913e-08
"MIR29A",9.78497426973054e-08
"MAP7",1.01152387783244e-07
"ARL6IP5",1.01992402938484e-07
