Name,Human_Score,Mouse_Score
ACVRL1,1,1
ACY1,1,0.004278705
ACY3,1,1
ACYP2,2.70E-05,6.59E-12
ADA,1,0.002389093
ADAD1,1,1
ADAL,0.040044835,0.000472145
ADAM10,0.011355433,2.33E-06
ADAM11,0.000269855,1.01E-05
ADAM12,0.097524481,1
ADAM15,0.203314793,1.33E-05
ADAM17,0.026847369,0.001942009
ADAM2,1,1
ADAM21,1,1
ADAM22,3.13E-06,3.54E-06
ADAM23,4.90E-08,7.89E-05
ADAM28,1,1
ADAM29,1,1
ADAM32,0.143206758,1
ADAM33,0.438724497,1
ADAM8,1,0.000613213
ADAM9,0.004204206,1.92E-06
ADAMTS1,0.836322378,0.002067131
ADAMTS10,0.011247618,1
ADAMTS13,0.156981967,1
ADAMTS14,1,1
ADAMTS15,1,0.013139615
ADAMTS16,0.525095562,1
ADAMTS17,1,1
ADAMTS18,0.776609256,1
ADAMTS19,0.923345901,1
ADAMTS2,0.327356456,0.974826384
ADAMTS20,1,1
ADAMTS3,0.175124745,1
ADAMTS5,1,0.056647913
ADAMTS7,1,1
ADAMTS8,1,0.034240598
ADAMTS9,0.815848411,0.923659969
ADAMTSL1,0.019974533,1
ADAMTSL2,0.016815263,1
ADAMTSL3,0.020767176,0.235683102
ADAMTSL4,1,0.078182144
ADAMTSL5,1,1
ADAP1,3.26E-07,5.17E-08
ADAP2,0.022502941,1
ADAR,0.009020873,0.000746083
ADARB1,0.038578723,0.000823661
ADARB2,0.224455432,1
ADAT1,1,0.000651442
ADAT2,0.53996408,0.002197599
ADCK1,0.035342517,0.000532785
ADCK2,1,0.019416769
ADCK5,0.004237121,0.000460608
ADCY1,0.180143435,0.022053456
ADCY10,0.61213277,1
ADCY2,0.069200356,0.000180027
ADCY3,0.000485354,0.137612323
ADCY4,1,1
ADCY5,0.008107062,0.00100092
ADCY6,0.08272331,0.402461382
ADCY7,0.002118864,0.038449463
ADCY8,0.103732618,0.774599668
ADCY9,0.001368458,0.003729764
ADCYAP1,1.93E-06,7.39E-09
ADCYAP1R1,1,1
ADD1,4.01E-06,5.22E-09
ADD2,2.64E-07,2.97E-07
ADD3,1.04E-05,0.003148496
ADGB,1,1
ADGRA1,1,1
ADGRA2,0.006852849,1
ADGRA3,0.642309665,1
ADGRB1,0.048953223,1
ADGRB2,0.173150169,1
ADGRB3,4.12E-05,1
ADGRD1,1,1
ADGRE5,0.472453208,1
ADGRF5,1,1
ADGRG1,0.026764329,1
ADGRG2,0.024434728,1
ADGRG6,0.545054309,1
ADGRL1,0.003867252,1
ADGRL2,0.184244165,1
ADGRL3,8.94E-07,1
ADGRL4,1,1
ADH1B,1,1
ADH1C,1,1
ADH5,1.28E-05,4.36E-06
ADH6,1,1
ADH7,1,0.857611981
ADHFE1,0.66840892,1
ADI1,0.004488708,3.87E-05
ADIPOQ,1,1
ADIPOR1,0.010624883,1.34E-09
ADIPOR2,0.005148099,0.000326972
ADK,1.16E-06,5.32E-09
ADM,1,1
ADM2,1,1
ADNP,0.000668253,1
ADNP2,0.001376598,0.001425322
ADO,0.168915852,0.000618548
ADORA1,0.001390647,2.51E-05
ADORA2B,0.182594639,0.001157251
ADPGK,0.000355175,0.000314454
ADPRH,1,6.60E-10
ADPRHL1,0.263350651,0.201315907
ADPRM,0.547812762,6.24E-05
ADRA1A,1,1
ADRA1B,1,1
ADRA1D,1,1
ADRA2A,0.909909165,0.138389886
ADRA2B,1,1
ADRA2C,0.026571401,0.042324179
ADRB1,1,1
ADRB2,1,1
ADRM1,0.000794656,0.173749882
ADSL,0.163615798,0.000106977
