sample ,genotype
GSM2945891_Treg_CT1.rsem.genes.results,HD
GSM2945892_Treg_CT3.rsem.genes.results,HD
GSM2945893_Treg_CT5.rsem.genes.results,HD
GSM2945888_Treg_MM3.rsem.genes.results,MM
GSM2945889_Treg_MM4.rsem.genes.results,MM
GSM2945890_Treg_MM5.rsem.genes.results,MM
