"GENEID","SYMBOL","tpm_counts"
"ENSMUSG00000023064","Sncg",16453.8836598844
"ENSMUSG00000064370","mt-Cytb",12951.7763270467
"ENSMUSG00000100862","Gm10925",11110.7947232122
"ENSMUSG00000024661","Fth1",8939.94704593354
"ENSMUSG00000064357","mt-Atp6",8666.54830978374
"ENSMUSG00000036438","Calm2",7130.8617016658
"ENSMUSG00000059412","Fxyd2",6739.72059936882
"ENSMUSG00000064341","mt-Nd1",6485.28525841286
"ENSMUSG00000024425","Ndfip1",6266.42258386716
"ENSMUSG00000056201","Cfl1",5884.81719631598
"ENSMUSG00000062380","Tubb3",5623.16407866966
"ENSMUSG00000064351","mt-Co1",5256.56198263276
"ENSMUSG00000041571","Sepw1",5022.94248438037
"ENSMUSG00000052727","Map1b",4854.96234292492
"ENSMUSG00000022055","Nefl",4562.4388036494
"ENSMUSG00000027581","Stmn3",4479.42221897948
"ENSMUSG00000049775","Tmsb4x",4344.84977841409
"ENSMUSG00000027712","Anxa5",4190.1642753232
"ENSMUSG00000030669","Calca",4164.90643286399
"ENSMUSG00000005873","Reep5",4029.88336245991
"ENSMUSG00000072235","Tuba1a",3949.25253182499
"ENSMUSG00000019505","Ubb",3826.25809506383
"ENSMUSG00000101249","Gm29216",3795.73909921294
"ENSMUSG00000036309","Skp1a",3455.52453528916
"ENSMUSG00000029223","Uchl1",3264.28619668888
"ENSMUSG00000022982","Sod1",3250.55675183397
"ENSMUSG00000032294","Pkm",3246.91903180147
"ENSMUSG00000030342","Cd9",3237.81226197952
"ENSMUSG00000064358","mt-Co3",3133.43797381811
"ENSMUSG00000046275","Tusc5",3012.34875521733
"ENSMUSG00000031708","Tecr",3007.41586869736
"ENSMUSG00000001175","Calm1",2992.50778423857
"ENSMUSG00000014846","Tppp3",2856.45795223193
"ENSMUSG00000064354","mt-Co2",2809.38022610448
"ENSMUSG00000036751","Cox6b1",2767.20273500347
"ENSMUSG00000101111","Gm28437",2752.16529083487
"ENSMUSG00000050347, ENSMUSG00000091955","Gm9844",2723.07077444704
"ENSMUSG00000031633","Slc25a4",2700.62485733548
"ENSMUSG00000030695","Aldoa",2527.45242530117
"ENSMUSG00000022816","Fstl1",2425.50614124802
"ENSMUSG00000021939","Ctsb",2392.29527298937
"ENSMUSG00000015656","Hspa8",2347.70975787868
"ENSMUSG00000097554","Gm26825",2301.75917302237
"ENSMUSG00000071658","Gng3",2296.12580016806
"ENSMUSG00000001270","Ckb",2228.04299519864
"ENSMUSG00000036578","Fxyd7",2219.45011225403
"ENSMUSG00000043091","Tuba1c",2178.25013820312
"ENSMUSG00000032231","Anxa2",2175.67467952711
"ENSMUSG00000021477","Ctsl",2152.06020998536
"ENSMUSG00000022048","Dpysl2",2145.10784812197
"ENSMUSG00000062591","Tubb4a",2139.73089728677
"ENSMUSG00000035885","Cox8a",2125.93433883266
"ENSMUSG00000064363","mt-Nd4",2089.9130756796
"ENSMUSG00000022108","Itm2b",2061.04971683175
"ENSMUSG00000039197","Adk",2042.77022619871
"ENSMUSG00000029580","Actb",2028.55193647558
"ENSMUSG00000021290","2010107E04Rik",1921.0497520857
"ENSMUSG00000058672","Tubb2a",1906.97810001136
"ENSMUSG00000028367","Txn1",1887.16343959267
"ENSMUSG00000043801","Oaz1-ps",1878.68672678272
"ENSMUSG00000023944","Hsp90ab1",1825.41871537308
"ENSMUSG00000032181","Scg3",1790.98644553533
"ENSMUSG00000042750","Bex2",1751.57869695697
"ENSMUSG00000084319","Tpt1-ps3",1731.36387774286
"ENSMUSG00000064356","mt-Atp8",1706.88473806567
"ENSMUSG00000036564","Ndrg4",1688.70099224601
"ENSMUSG00000041028","Ghitm",1682.49421711712
"ENSMUSG00000030666","Calcb",1670.87083448329
"ENSMUSG00000023004","Tuba1b",1663.08618420371
"ENSMUSG00000022658","Tagln3",1634.06995170329
"ENSMUSG00000025432","Avil",1631.25312400261
"ENSMUSG00000102070","Gm28661",1616.21801144965
"ENSMUSG00000038530","Rgs4",1605.74298236801
"ENSMUSG00000014769","Psmb1",1600.87882173703
"ENSMUSG00000062382","Gm10116",1594.04411184161
"ENSMUSG00000024758","Rtn3",1578.53028099682
"ENSMUSG00000041697","Cox6a1",1568.43956458716
"ENSMUSG00000027602","Map1lc3a",1559.07075257926
"ENSMUSG00000006356","Crip2",1554.30286773961
"ENSMUSG00000041959","S100a10",1537.9404189555
"ENSMUSG00000023484","Prph",1535.43805215345
"ENSMUSG00000018865","Sult4a1",1530.49390586951
"ENSMUSG00000047139","Cd24a",1517.0229436631
"ENSMUSG00000027273","Snap25",1505.24568170913
"ENSMUSG00000055839","Tceb2",1502.32323073518
"ENSMUSG00000000948, ENSMUSG00000102252","Snrpn",1453.71538027833
"ENSMUSG00000039278","Pcsk1n",1369.15503396297
"ENSMUSG00000011752","Pgam1",1361.24576446345
"ENSMUSG00000020849","Ywhae",1355.22616288947
"ENSMUSG00000022564","Grina",1343.94080137197
"ENSMUSG00000032330","Cox7a2",1321.10858466264
"ENSMUSG00000031760","Mt3",1294.75144498382
"ENSMUSG00000033615","Cplx1",1289.58214480136
"ENSMUSG00000039126","Prune2",1282.41574712775
"ENSMUSG00000001525","Tubb5",1279.92999111304
"ENSMUSG00000028937","Acot7",1245.23404684197
"ENSMUSG00000028843","Sh3bgrl3",1244.00048479512
"ENSMUSG00000021178","Psmc1",1238.21473331654
"ENSMUSG00000018326","Ywhab",1229.86372595996
"ENSMUSG00000058927","Gm10053",1220.10019084859
"ENSMUSG00000021288","Klc1",1209.41420693283
"ENSMUSG00000025630","Hprt",1189.43950879059
"ENSMUSG00000036752","Tubb4b",1180.66613001553
"ENSMUSG00000047786","Lix1",1170.15249828095
"ENSMUSG00000020612","Prkar1a",1166.00149041071
"ENSMUSG00000027500","Stmn2",1164.8588453851
"ENSMUSG00000021423","Ly86",1159.52576428506
"ENSMUSG00000050708","Ftl1",1150.42163494008
"ENSMUSG00000028822","Tmem50a",1147.05379080097
"ENSMUSG00000002808","Epdr1",1143.21357490629
"ENSMUSG00000030161","Gabarapl1",1137.33339299962
"ENSMUSG00000048070","Pirt",1119.36528836552
"ENSMUSG00000015671","Psma2",1113.49037422828
"ENSMUSG00000033585","Ndn",1110.81405059682
"ENSMUSG00000026895","Ndufa8",1109.69628358428
"ENSMUSG00000007021","Syngr3",1109.6243719603
"ENSMUSG00000093930","Hmgcs1",1109.5955964315
"ENSMUSG00000020267","Hint1",1107.13587989506
"ENSMUSG00000037710","Cisd1",1106.96806608802
"ENSMUSG00000019923","Zwint",1105.56370400149
"ENSMUSG00000026576","Atp1b1",1103.17780130198
"ENSMUSG00000079941","Gm11273",1102.18924727487
"ENSMUSG00000039114","Nrn1",1099.53956882571
"ENSMUSG00000033208","S100b",1088.15071506774
"ENSMUSG00000021190","Lgmn",1077.47410099126
"ENSMUSG00000100131","Gm28439",1075.37043214151
"ENSMUSG00000022354","Ndufb9",1071.94309368092
"ENSMUSG00000021270","Hsp90aa1",1043.77390424873
"ENSMUSG00000036299","BC031181",1036.0730216167
"ENSMUSG00000064368","mt-Nd6",1033.9125831091
"ENSMUSG00000031176","Dynlt3",1027.04487796299
"ENSMUSG00000031137","Fgf13",1026.34618020021
"ENSMUSG00000024587","Nars",1025.25569851761
"ENSMUSG00000010376","Nedd8",1025.25161431451
"ENSMUSG00000031996","Aplp2",1019.55956633651
"ENSMUSG00000007891","Ctsd",1013.02612987062
"ENSMUSG00000039105","Atp6v1g1",1009.00787968854
"ENSMUSG00000028447","Dctn3",1007.29298872219
"ENSMUSG00000069372","Ctxn3",1001.20660484619
"ENSMUSG00000081824","BC002163",996.067722022674
"ENSMUSG00000041548","Hspb8",993.571192935913
"ENSMUSG00000030654","Arl6ip1",989.754838808518
"ENSMUSG00000032324","Tspan3",966.165153827362
"ENSMUSG00000068220","Lgals1",966.123193612356
"ENSMUSG00000064367","mt-Nd5",963.062335536076
"ENSMUSG00000079037","Prnp",960.911169838373
"ENSMUSG00000041556","Fbxo2",943.983423218621
"ENSMUSG00000029064","Gnb1",939.984063776653
"ENSMUSG00000032399","Rpl4",934.119847012053
"ENSMUSG00000041737","Tmem45b",931.387340665556
"ENSMUSG00000090841","Myl6",919.983289855818
"ENSMUSG00000014294","Ndufa2",914.471292200152
"ENSMUSG00000020949","Fkbp3",911.04921637944
"ENSMUSG00000032412","Atp1b3",909.873783874428
"ENSMUSG00000024870","Rab1b",908.295827439488
"ENSMUSG00000022054","Nefm",908.258185252772
"ENSMUSG00000059734","Ndufs8",907.120131896767
"ENSMUSG00000055430","Nap1l5",903.924505634905
"ENSMUSG00000018217","Pmp22",899.73438690905
"ENSMUSG00000000120","Ngfr",899.019356918749
"ENSMUSG00000002015","Bcap31",898.63851127261
"ENSMUSG00000068706","Gm10250",896.357867426691
"ENSMUSG00000033917","Gde1",893.93009763827
"ENSMUSG00000020708","Psmc5",891.904799802506
"ENSMUSG00000021748","Pdhb",891.290799608467
"ENSMUSG00000040385, ENSMUSG00000096994","Ppp1ca",888.26467002345
"ENSMUSG00000022139","Mbnl2",884.805388332458
"ENSMUSG00000051851","Cxx1c",882.895378610271
"ENSMUSG00000042682","Selk",881.72130688134
"ENSMUSG00000038370","Pcp4l1",881.310300853879
"ENSMUSG00000031839","Hsbp1",878.295701897048
"ENSMUSG00000052852","Reep1",873.220348760941
"ENSMUSG00000020321","Mdh1",871.622843526354
"ENSMUSG00000032026","Rexo2",865.930039014856
"ENSMUSG00000031149","Praf2",864.159220423899
"ENSMUSG00000095159","Tubb4b-ps1",863.045849757321
"ENSMUSG00000000088","Cox5a",862.219755357836
"ENSMUSG00000019877","Serinc1",861.811263308891
"ENSMUSG00000022450","Ndufa6",851.904144256079
"ENSMUSG00000078812","Eif5a",845.257748202559
"ENSMUSG00000004285","Atp6v1f",827.386660071633
"ENSMUSG00000022193","Psmb5",817.291623724381
"ENSMUSG00000004951","Hspb1",816.777950789746
"ENSMUSG00000039347","Atp6v0e2",816.641161091352
"ENSMUSG00000018340","Anxa6",811.915896148328
"ENSMUSG00000022400","Rbx1",809.670645967128
"ENSMUSG00000022551","Cyc1",808.156685126048
"ENSMUSG00000003429","Rps11",807.679575961061
"ENSMUSG00000028837","Psmb2",803.248923313368
"ENSMUSG00000079523","Tmsb10",802.958248768742
"ENSMUSG00000028692","Akr1a1",799.263619915061
"ENSMUSG00000024966","Stip1",799.009945224609
"ENSMUSG00000007721","Ccdc124",797.691705068301
"ENSMUSG00000047557","Lxn",797.56326901852
"ENSMUSG00000068923","Syt11",793.781849619703
"ENSMUSG00000034868","Myl12b",786.85016403449
"ENSMUSG00000023048","Prr13",785.613523606221
"ENSMUSG00000051207","Mrgprd",784.739893739368
"ENSMUSG00000008475","Arpc5",783.405318647343
"ENSMUSG00000022295","Atp6v1c1",783.118415129421
"ENSMUSG00000031818","Cox4i1",777.805103941856
"ENSMUSG00000032112","Trappc4",776.29245943163
"ENSMUSG00000004207","Psap",775.583749126592
"ENSMUSG00000006699","Cdc42",774.848691225722
"ENSMUSG00000025393","Atp5b",772.029164679259
"ENSMUSG00000021987","Mtmr6",771.526340780623
"ENSMUSG00000031532","Saraf",770.980296382226
"ENSMUSG00000034341","Wbp2",761.155129654686
"ENSMUSG00000032118","Fez1",753.427005372776
"ENSMUSG00000030246","Ldhb",748.865752784546
"ENSMUSG00000047261","Gap43",747.576176059771
"ENSMUSG00000039067","Psmd7",738.390724355658
"ENSMUSG00000034731","Dgkh",738.003559580909
"ENSMUSG00000021728","Emb",733.334677162436
"ENSMUSG00000083327","Vcp-rs",732.626499308033
