sample ,genotype
GSM2011243_BMPC49,HD
GSM2011244_BMPC56,HD
GSM2011245_BMPC57,HD
GSM2011246_BMPC65,HD
GSM2011247_PDLen1_A,MM
GSM2011252_PDLen2_A,MM
GSM2011257_PDLen3_A,MM
GSM2011262_PDLen4_A,MM
GSM2011267_PDLen5_A,MM
GSM2011271_PDLen6_A,MM
GSM2011276_PDLen7_A,MM
GSM2011281_MM1.S,cMM
GSM2011282_KMS12,cMM
