"GENEID","SYMBOL","tpm_counts"
"ENSMUSG00000072235","Tuba1a",8710.83907710255
"ENSMUSG00000023064","Sncg",7235.03584790988
"ENSMUSG00000049775","Tmsb4x",7168.35140928758
"ENSMUSG00000029223","Uchl1",7090.89711636121
"ENSMUSG00000035929","H2-Q4",6388.62950675923
"ENSMUSG00000062825","Actg1",6172.17851609083
"ENSMUSG00000062380","Tubb3",5341.71095974592
"ENSMUSG00000030669","Calca",5269.93603743623
"ENSMUSG00000036438","Calm2",4686.7168932569
"ENSMUSG00000022055","Nefl",3639.12440362213
"ENSMUSG00000030342","Cd9",3315.40484605044
"ENSMUSG00000023484","Prph",3273.63800046171
"ENSMUSG00000023004","Tuba1b",3262.5128087615
"ENSMUSG00000056569","Mpz",3028.6135053287
"ENSMUSG00000064351","mt-Co1",3019.08511217465
"ENSMUSG00000064354","mt-Co2",3002.3898110861
"ENSMUSG00000023944","Hsp90ab1",2912.77339833596
"ENSMUSG00000037742","Eef1a1",2862.48435635929
"ENSMUSG00000022816","Fstl1",2826.20005193441
"ENSMUSG00000029580","Actb",2776.72990174811
"ENSMUSG00000001025","S100a6",2747.460162149
"ENSMUSG00000018217","Pmp22",2650.26062297732
"ENSMUSG00000027581","Stmn3",2572.58994198461
"ENSMUSG00000014846","Tppp3",2497.41145685682
"ENSMUSG00000001175","Calm1",2359.67907916368
"ENSMUSG00000036564","Ndrg4",2251.18207534345
"ENSMUSG00000018326","Ywhab",2248.58205507941
"ENSMUSG00000058672","Tubb2a",2232.48582344992
"ENSMUSG00000035885","Cox8a",2173.43025582389
"ENSMUSG00000064357","mt-Atp6",2114.93104677744
"ENSMUSG00000057322","Rpl38",2070.90267279813
"ENSMUSG00000079457","Gm7609",2014.54808287551
"ENSMUSG00000064363","mt-Nd4",1978.79253082016
"ENSMUSG00000068923","Syt11",1906.0259839759
"ENSMUSG00000018965","Ywhah",1897.62307517944
"ENSMUSG00000001525","Tubb5",1885.04035758348
"ENSMUSG00000033161","Atp1a1",1882.75522521117
"ENSMUSG00000026576","Atp1b1",1846.60762168488
"ENSMUSG00000005873","Reep5",1837.32965233873
"ENSMUSG00000071866","Ppia",1829.51687863915
"ENSMUSG00000020396","Nefh",1788.02689046405
"ENSMUSG00000028822","Tmem50a",1785.83162228428
"ENSMUSG00000004207","Psap",1775.94289912845
"ENSMUSG00000049517","Rps23",1732.48965599386
"ENSMUSG00000021268","Meg3",1717.2032950788
"ENSMUSG00000017466","Timp2",1710.38118658742
"ENSMUSG00000030704","Rab6a",1691.27916654709
"ENSMUSG00000027500","Stmn2",1689.20599106445
"ENSMUSG00000064370","mt-Cytb",1675.03151476141
"ENSMUSG00000041697","Cox6a1",1652.1370006328
"ENSMUSG00000028367","Txn1",1635.29090030784
"ENSMUSG00000021270","Hsp90aa1",1622.48062437641
"ENSMUSG00000027712","Anxa5",1574.03250363051
"ENSMUSG00000020267","Hint1",1565.43736097518
"ENSMUSG00000002985","Apoe",1556.96972411535
"ENSMUSG00000028843","Sh3bgrl3",1547.97851922727
"ENSMUSG00000028832","Stmn1",1542.29724244339
"ENSMUSG00000022108","Itm2b",1540.34646365066
"ENSMUSG00000007892","Rplp1",1535.65110952006
"ENSMUSG00000056201","Cfl1",1505.41069892249
"ENSMUSG00000036752","Tubb4b",1489.00283310672
"ENSMUSG00000030161","Gabarapl1",1487.4000313488
"ENSMUSG00000070493","Chchd2",1481.82801712823
"ENSMUSG00000047459","Dynlrb1",1470.81603694575
"ENSMUSG00000025203","Scd2",1464.77189672108
"ENSMUSG00000026238","Ptma",1455.98862507801
"ENSMUSG00000033208","S100b",1451.69340997629
"ENSMUSG00000051391","Ywhag",1448.93045781073
"ENSMUSG00000028081","Rps3a1",1446.38996139541
"ENSMUSG00000039114","Nrn1",1441.89015377779
"ENSMUSG00000026970","Rbms1",1436.49401666361
"ENSMUSG00000027602","Map1lc3a",1410.25925918952
"ENSMUSG00000041959","S100a10",1387.38096983483
"ENSMUSG00000052727","Map1b",1373.88675036871
"ENSMUSG00000034892","Rps29",1370.96215010685
"ENSMUSG00000045136","Tubb2b",1370.52825469203
"ENSMUSG00000064341","mt-Nd1",1338.87373511498
"ENSMUSG00000064358","mt-Co3",1306.21801222404
"ENSMUSG00000032412","Atp1b3",1302.75914738192
"ENSMUSG00000024758","Rtn3",1302.17844739724
"ENSMUSG00000036578","Fxyd7",1298.38969186734
"ENSMUSG00000022054","Nefm",1235.31440903474
"ENSMUSG00000038530","Rgs4",1224.95650580457
"ENSMUSG00000020849","Ywhae",1223.86147439253
"ENSMUSG00000020585","Laptm4a",1216.11521175635
"ENSMUSG00000015656","Hspa8",1210.28488658707
"ENSMUSG00000055302","Mrfap1",1207.38433976751
"ENSMUSG00000042043","Tbca",1204.84446127522
"ENSMUSG00000021288","Klc1",1201.62262170649
"ENSMUSG00000044349","Snhg11",1196.64010086275
"ENSMUSG00000016349","Eef1a2",1166.49204713805
"ENSMUSG00000061762","Tac1",1156.02795905139
"ENSMUSG00000026426","Arl8a",1151.09332025898
"ENSMUSG00000063065","Mapk3",1142.40494211039
"ENSMUSG00000055761","Nkain3",1136.54760390229
"ENSMUSG00000025723","Nmb",1121.41146751912
"ENSMUSG00000021087","Rtn1",1106.92579140212
"ENSMUSG00000060126","Tpt1",1104.61325857521
"ENSMUSG00000003429","Rps11",1072.02422779655
"ENSMUSG00000055430","Nap1l5",1064.83403816938
"ENSMUSG00000020483","Dynll2",1059.4191561005
"ENSMUSG00000039001","Rps21",1049.21381840978
"ENSMUSG00000019370","Calm3",1033.90569657417
"ENSMUSG00000011752","Pgam1",1032.95316884443
"ENSMUSG00000045763","Basp1",994.175885811627
"ENSMUSG00000059534","Uqcr10",989.318406981249
"ENSMUSG00000047139","Cd24a",987.528407441292
"ENSMUSG00000071415","Rpl23",987.083198770104
"ENSMUSG00000079278","Tmem233",986.287520787232
"ENSMUSG00000086526","Gm12762",984.478669817431
"ENSMUSG00000032959","Pebp1",982.363362050679
"ENSMUSG00000037710","Cisd1",981.766349105227
"ENSMUSG00000050856","Atp5k",981.690057216309
"ENSMUSG00000000948, ENSMUSG00000102252","Snrpn",969.532718739189
"ENSMUSG00000075706","Gpx4",965.26783501939
"ENSMUSG00000039105","Atp6v1g1",958.209965129383
"ENSMUSG00000018593","Sparc",957.553036285102
"ENSMUSG00000030654","Arl6ip1",939.250870923999
"ENSMUSG00000032181","Scg3",937.060661641607
"ENSMUSG00000004285","Atp6v1f",936.53380384021
"ENSMUSG00000031633","Slc25a4",934.405496744328
"ENSMUSG00000018865","Sult4a1",928.329761802962
"ENSMUSG00000036309","Skp1a",927.901155920303
"ENSMUSG00000037266","Rsrp1",926.987982362145
"ENSMUSG00000022564","Grina",922.56400710746
"ENSMUSG00000039130","Zc3hc1",918.815426341918
"ENSMUSG00000036751","Cox6b1",910.192180200378
"ENSMUSG00000038467","Chmp4b",904.44671985168
"ENSMUSG00000006356","Crip2",903.893140775299
"ENSMUSG00000025868","Higd2a",897.633294381697
"ENSMUSG00000033615","Cplx1",890.129758367715
"ENSMUSG00000023048","Prr13",880.227531355984
"ENSMUSG00000028618","Tmem59",876.316269685405
"ENSMUSG00000021939","Ctsb",872.981035999554
"ENSMUSG00000050711","Scg2",870.446902043561
"ENSMUSG00000009549","Srp14",870.424631315989
"ENSMUSG00000051234","Rnf7",864.803275003909
"ENSMUSG00000027447","Cst3",862.216191158057
"ENSMUSG00000014294","Ndufa2",860.228186836669
"ENSMUSG00000037852","Cpe",855.440301663041
"ENSMUSG00000079037","Prnp",855.191535309753
"ENSMUSG00000020612","Prkar1a",854.17500932425
"ENSMUSG00000028937","Acot7",852.418873897988
"ENSMUSG00000046330","Rpl37a",851.299166878355
"ENSMUSG00000051695","Pcbp1",847.68593999718
"ENSMUSG00000034981","Parm1",839.30391469016
"ENSMUSG00000030122","Ptms",839.131564937128
"ENSMUSG00000035242","Oaz1",838.07985054082
"ENSMUSG00000056596","Trnp1",835.53842450239
"ENSMUSG00000028692","Akr1a1",832.80879937066
"ENSMUSG00000047675","Rps8",829.33754644803
"ENSMUSG00000063882","Uqcrh",819.452806276642
"ENSMUSG00000028546","Elavl4",819.302154357097
"ENSMUSG00000064345","mt-Nd2",805.585457730157
"ENSMUSG00000097163","BC051077",803.552585429017
"ENSMUSG00000060240","Cend1",802.043805636462
"ENSMUSG00000090841","Myl6",799.850883660485
"ENSMUSG00000025959","Klf7",798.132984783762
"ENSMUSG00000024261","Syt4",791.518856610299
"ENSMUSG00000047187","Rab2a",791.510547624401
"ENSMUSG00000015837","Sqstm1",788.602344540915
"ENSMUSG00000035199","Arl6ip5",778.899409620154
"ENSMUSG00000035530","Eif1",776.666698924027
"ENSMUSG00000028452","Vcp",774.361735553781
"ENSMUSG00000071658","Gng3",762.54147224923
"ENSMUSG00000032231","Anxa2",759.422164893461
"ENSMUSG00000029632","Ndufa4",753.39342645075
"ENSMUSG00000032657","Fam189b",748.999056619189
"ENSMUSG00000015759","Cnih1",745.647474125796
"ENSMUSG00000024121","Atp6v0c",745.568056493913
"ENSMUSG00000031840","Rab3a",744.326729170754
"ENSMUSG00000047261","Gap43",736.55844461121
"ENSMUSG00000058297","Spock2",735.769724525874
"ENSMUSG00000028648","Ndufs5",733.863285815916
"ENSMUSG00000071072","Ptges3",731.875286061173
"ENSMUSG00000022884","Eif4a2",731.822828275328
"ENSMUSG00000001794","Capns1",728.650373653536
"ENSMUSG00000006941","Eif1b",728.247582015387
"ENSMUSG00000034994","Eef2",728.178298289499
"ENSMUSG00000016833","Mrps18c",727.716685876565
"ENSMUSG00000006699","Cdc42",727.68388671243
"ENSMUSG00000031818","Cox4i1",723.728071705079
"ENSMUSG00000028161","Ppp3ca",723.526007133788
"ENSMUSG00000026223","Itm2c",716.755444652876
"ENSMUSG00000007891","Ctsd",714.676418720709
"ENSMUSG00000017404","Rpl19",711.863542400667
"ENSMUSG00000052852","Reep1",708.251279518713
"ENSMUSG00000020635","Fkbp1b",703.273619131864
"ENSMUSG00000017778","Cox7c",698.985956376558
"ENSMUSG00000024661","Fth1",689.862694706907
"ENSMUSG00000041548","Hspb8",687.779495265036
"ENSMUSG00000087006","Gm13889",687.535170740656
"ENSMUSG00000060802","B2m",687.490130768776
"ENSMUSG00000048076","Arf1",685.181255465458
"ENSMUSG00000042675","Ypel3",679.964360922001
"ENSMUSG00000025630","Hprt",674.969787305732
"ENSMUSG00000093930","Hmgcs1",671.701630395516
"ENSMUSG00000015932","Dstn",671.022894833377
"ENSMUSG00000035754","Wdr18",668.354720580992
"ENSMUSG00000045128","Rpl18a",667.202407679139
"ENSMUSG00000004951","Hspb1",660.205081809888
"ENSMUSG00000020402","Vdac1",658.862862168794
"ENSMUSG00000032399","Rpl4",651.849172931354
"ENSMUSG00000022658","Tagln3",648.413451166117
"ENSMUSG00000031137","Fgf13",647.892430923113
"ENSMUSG00000010376","Nedd8",647.420057261358
"ENSMUSG00000022048","Dpysl2",644.752538478339
"ENSMUSG00000042750","Bex2",644.56060328591
"ENSMUSG00000027523","Gnas",643.308350916912
"ENSMUSG00000022629","Kif21a",642.971498650248
"ENSMUSG00000032966","Fkbp1a",641.14480544966
"ENSMUSG00000032549","Rab6b",640.482258579458
"ENSMUSG00000098274","Rpl24",640.177695531373
"ENSMUSG00000060938","Rpl26",638.634362490482
"ENSMUSG00000022285","Ywhaz",636.899239382644
"ENSMUSG00000006304","Arpc2",630.572012798203
"ENSMUSG00000006740","Kif5b",618.519210191804
"ENSMUSG00000026797","Stxbp1",618.106689533268
"ENSMUSG00000029064","Gnb1",614.776620853149
"ENSMUSG00000025432","Avil",613.749490569434
"ENSMUSG00000026833","Olfm1",609.580740401849
"ENSMUSG00000026547","Tagln2",608.453417002584
"ENSMUSG00000031447","Lamp1",608.374414691404
"ENSMUSG00000015291","Gdi1",604.818884954012
"ENSMUSG00000031320","Rps4x",604.341758598686
"ENSMUSG00000041556","Fbxo2",603.606680035424
"ENSMUSG00000032011","Thy1",603.030213043499
"ENSMUSG00000002808","Epdr1",602.986283200487
"ENSMUSG00000074748","Atxn7l3b",597.697877938769
"ENSMUSG00000019877","Serinc1",596.115274699791
"ENSMUSG00000005469","Prkaca",594.354710074994
"ENSMUSG00000027273","Snap25",593.489805985194
"ENSMUSG00000031748","Gnao1",593.040710725794
"ENSMUSG00000047557","Lxn",591.803726000849
"ENSMUSG00000018411","Mapt",591.005001833404
"ENSMUSG00000028495","Rps6",589.544038276569
"ENSMUSG00000018451","6330403K07Rik",588.920109360727
"ENSMUSG00000020390","Ube2b",588.514729007628
"ENSMUSG00000026879","Gsn",586.956462323321
"ENSMUSG00000023904","Hcfc1r1",585.333832795926
"ENSMUSG00000027805","Pfn2",584.894544239267
"ENSMUSG00000021290","2010107E04Rik",584.128391522405
"ENSMUSG00000025855","Prkar1b",582.369815423772
"ENSMUSG00000030666","Calcb",582.339470343146
"ENSMUSG00000020460","Rps27a",582.288450406325
"ENSMUSG00000090223","Pcp4",582.238828060879
"ENSMUSG00000071379","Hpcal1",578.780698039228
"ENSMUSG00000000120","Ngfr",577.225378532542
"ENSMUSG00000019923","Zwint",576.958748628321
"ENSMUSG00000021190","Lgmn",576.38351946612
"ENSMUSG00000058927","Gm10053",575.659975134862
"ENSMUSG00000032294","Pkm",574.913869345577
"ENSMUSG00000070934","Rraga",573.34536900609
"ENSMUSG00000024248","Cox7a2l",572.115641286734
"ENSMUSG00000048070","Pirt",571.719387049695
"ENSMUSG00000078812","Eif5a",568.76468910143
"ENSMUSG00000019804","Snx3",568.696296487041
"ENSMUSG00000028478","Clta",568.620636984385
"ENSMUSG00000008658","Rbfox1",568.571338687891
"ENSMUSG00000003380","Rabac1",567.358145575636
"ENSMUSG00000007021","Syngr3",566.57300807836
"ENSMUSG00000047714","Ppp1r2",564.977511907601
"ENSMUSG00000018770","Atp5g3",563.358729204983
"ENSMUSG00000059412","Fxyd2",560.862156015622
"ENSMUSG00000052305","Hbb-bs",560.801134866454
"ENSMUSG00000071076","Jund",559.782600280416
"ENSMUSG00000053192","Mllt11",555.319398496498
"ENSMUSG00000020321","Mdh1",552.431937826509
"ENSMUSG00000029430","Ran",551.837497458324
"ENSMUSG00000025875","Tspan17",551.098766895717
"ENSMUSG00000030037","Mrpl53",550.949916675243
"ENSMUSG00000033940","Brk1",550.134258170104
"ENSMUSG00000008348","Ubc",548.392000842521
"ENSMUSG00000063457","Rps15",548.036082979111
"ENSMUSG00000032318","Isl2",544.845890416271
"ENSMUSG00000037563","Rps16",543.382712874265
"ENSMUSG00000032118","Fez1",543.14202533628
"ENSMUSG00000062328","Rpl17",541.52233620602
"ENSMUSG00000041841","Rpl37",535.307233669437
"ENSMUSG00000028391","Wdr31",533.190373732372
"ENSMUSG00000093989","Rnasek",531.724502732177
"ENSMUSG00000008035","Mid1ip1",531.301667682804
"ENSMUSG00000018340","Anxa6",530.044900249852
"ENSMUSG00000059325","Hopx",529.260787869867
"ENSMUSG00000025428","Atp5a1",528.833575739125
"ENSMUSG00000059714","Flot1",526.348351916119
"ENSMUSG00000031176","Dynlt3",526.089811165635
"ENSMUSG00000028416","Bag1",523.870229721719
"ENSMUSG00000019874","Fabp7",523.341701030075
"ENSMUSG00000040430","Pitpnc1",518.956277952166
"ENSMUSG00000028745","Capzb",518.718925755318
"ENSMUSG00000029030","Tprgl",518.632905667673
"ENSMUSG00000022193","Psmb5",518.273703915474
"ENSMUSG00000034868","Myl12b",514.649807778291
"ENSMUSG00000073702","Rpl31",514.537939544886
"ENSMUSG00000033917","Gde1",513.106859218618
"ENSMUSG00000040631","Dok4",512.054750477847
"ENSMUSG00000028447","Dctn3",510.40160624679
"ENSMUSG00000039661","Dusp26",509.700694039754
"ENSMUSG00000030695","Aldoa",507.637214409149
"ENSMUSG00000020894","Vamp2",506.98609955383
"ENSMUSG00000074657","Kif5a",505.734629757697
"ENSMUSG00000030357","Fkbp4",504.758114395111
"ENSMUSG00000063856","Gpx1",504.745742768607
"ENSMUSG00000026764","Kif5c",504.486229478934
"ENSMUSG00000020340","Cyfip2",503.526163294403
"ENSMUSG00000017707","Serinc3",501.755420731367
"ENSMUSG00000003072","Atp5d",501.457479448506
"ENSMUSG00000023175","Bsg",496.944532248805
"ENSMUSG00000025537","Phkg1",493.9623740612
"ENSMUSG00000033953","Ppp3r1",493.64010101746
"ENSMUSG00000093674","Rpl41",492.032694445541
"ENSMUSG00000062070","Pgk1",490.041638002032
"ENSMUSG00000039016","Timm8b",489.93751032604
"ENSMUSG00000046275","Tusc5",489.418574821463
"ENSMUSG00000055447","Cd47",487.93463623985
"ENSMUSG00000039278","Pcsk1n",486.558867983969
"ENSMUSG00000031007","Atp6ap2",486.295440921548
"ENSMUSG00000048758","Rpl29",486.278096394562
"ENSMUSG00000020496","Rnf187",484.559290612893
"ENSMUSG00000037979","Ccdc92",483.411823123644
"ENSMUSG00000054452","Aes",481.765479559923
"ENSMUSG00000033059","Pygb",480.837861038808
"ENSMUSG00000041120","Nbl1",479.810886895688
"ENSMUSG00000031708","Tecr",479.768153824283
"ENSMUSG00000020458","Rtn4",477.471686146844
"ENSMUSG00000018567","Gabarap",477.315058866948
"ENSMUSG00000041020","Map7d2",475.550231449649
"ENSMUSG00000050043","Tmx2",471.874468099846
"ENSMUSG00000031446","Cul4a",471.57289149329
"ENSMUSG00000046364","Rpl27a",470.576587062902
"ENSMUSG00000076432","Ywhaq",470.552435595359
"ENSMUSG00000029713","Gnb2",469.293947280722
"ENSMUSG00000002015","Bcap31",469.235664114498
"ENSMUSG00000021660","Btf3",468.982190735445
"ENSMUSG00000027907","S100a11",468.814809293769
"ENSMUSG00000038587","Akap12",468.584620830223
"ENSMUSG00000022935","Grik1",467.70332409638
"ENSMUSG00000037872","Ackr1",467.657625514827
"ENSMUSG00000025576","Rbfox3",465.75523712816
"ENSMUSG00000024639","Gnaq",463.294447921336
"ENSMUSG00000065947","mt-Nd4l",461.995464282582
"ENSMUSG00000064360","mt-Nd3",461.606906280662
"ENSMUSG00000079523","Tmsb10",459.202703643783
"ENSMUSG00000013160","Atp6v0d1",458.27972940226
"ENSMUSG00000015806","Qdpr",458.053491197669
"ENSMUSG00000041028","Ghitm",456.521125835806
"ENSMUSG00000075140","Olfr73",455.845654292552
"ENSMUSG00000056071","S100a9",454.483342912133
"ENSMUSG00000074129","Rpl13a",453.598962966026
"ENSMUSG00000040610","Tlx3",453.593943023851
"ENSMUSG00000022477","Aco2",453.554150075255
"ENSMUSG00000021987","Mtmr6",452.576742128203
"ENSMUSG00000028249","Sdcbp",451.428279357979
"ENSMUSG00000007041","Clic1",450.653685151226
"ENSMUSG00000003814","Calr",449.835217814168
"ENSMUSG00000053907","Mat2a",449.332574673094
"ENSMUSG00000028833","Ncdn",448.851023611035
"ENSMUSG00000031950","Gabarapl2",448.659025585077
"ENSMUSG00000036299","BC031181",445.878666884537
"ENSMUSG00000009013","Dynll1",443.854125678683
"ENSMUSG00000022139","Mbnl2",439.039115398545
"ENSMUSG00000062591","Tubb4a",438.943231872458
"ENSMUSG00000003410","Elavl3",438.192042979998
"ENSMUSG00000022194","Pabpn1",437.459786814735
"ENSMUSG00000054871","Tmem158",436.793437944281
"ENSMUSG00000019194","Scn1b",434.808474737016
"ENSMUSG00000031422","Morf4l2",434.329112024838
"ENSMUSG00000020738","Sumo2",433.003911775864
"ENSMUSG00000061787","Rps17",431.90349222692
"ENSMUSG00000067274","Rplp0",429.28615280904
"ENSMUSG00000032076","Cadm1",428.346120657015
"ENSMUSG00000038462","Uqcrfs1",428.254988849923
"ENSMUSG00000008475","Arpc5",428.093138416267
"ENSMUSG00000016427","Ndufa1",427.982497087087
"ENSMUSG00000040811","Eml2",427.51160223788
"ENSMUSG00000005687","Bcas2",426.378126867997
"ENSMUSG00000031865","Dctn1",426.207863492
"ENSMUSG00000001847","Rac1",424.348182319999
"ENSMUSG00000003970","Rpl8",423.017006708102
"ENSMUSG00000059923","Grb2",421.264232129695
"ENSMUSG00000024743","Syt7",421.093935013717
"ENSMUSG00000024479","Mal2",419.906894443279
"ENSMUSG00000030647","Ndufc2",419.810768131852
"ENSMUSG00000033585","Ndn",417.752445187975
"ENSMUSG00000039485","Tspyl4",415.131853296982
"ENSMUSG00000053931","Cnn3",415.101906180463
"ENSMUSG00000057948","Unc13d",413.950358692459
"ENSMUSG00000020163","Uqcr11",413.617871432018
"ENSMUSG00000006273","Atp6v1b2",412.872668928005
"ENSMUSG00000004655","Aqp1",412.651593204186
"ENSMUSG00000026385","Dbi",411.793811421681
"ENSMUSG00000000171","Sdhd",411.572409161807
"ENSMUSG00000052459","Atp6v1a",411.07144728065
"ENSMUSG00000038633","Degs1",410.455817218986
"ENSMUSG00000047786","Lix1",407.6381346835
"ENSMUSG00000057841","Rpl32",407.181550637931
"ENSMUSG00000079641","Rpl39",406.98646255264
"ENSMUSG00000000088","Cox5a",405.079345757921
"ENSMUSG00000022619","Mapk8ip2",404.957705903407
"ENSMUSG00000031231","Cox7b",403.322485848132
"ENSMUSG00000026032","Ndufb3",402.187705069003
"ENSMUSG00000022354","Ndufb9",402.146225740522
"ENSMUSG00000014077","Chp1",400.942302677278
"ENSMUSG00000020745","Pafah1b1",400.656787290492
"ENSMUSG00000058793","Cds2",400.14117144717
"ENSMUSG00000006932","Ctnnb1",399.907064957813
"ENSMUSG00000034341","Wbp2",399.706571219401
"ENSMUSG00000025132","Arhgdia",397.252073253005
"ENSMUSG00000067925","Cxx1a",397.054903765914
"ENSMUSG00000019087","Atp6ap1",396.089073946218
"ENSMUSG00000032679","Cd59a",395.565455603736
"ENSMUSG00000039347","Atp6v0e2",395.276089809304
"ENSMUSG00000030729","Pgm2l1",391.823898219564
"ENSMUSG00000021361","Tmem14c",391.479945340641
"ENSMUSG00000025151","Maged1",391.314231989101
"ENSMUSG00000028228","Cpne3",390.765810717994
"ENSMUSG00000020671","Rab10",389.950307108524
"ENSMUSG00000032518","Rpsa",387.715217162115
"ENSMUSG00000012848","Rps5",387.665427720702
"ENSMUSG00000015094","Npdc1",385.201765031047
"ENSMUSG00000016541","Atxn10",384.52016814554
