"","GSE36474","GSE78235","GSE80608","GSE87073","GSE46053_Coculture"
"GSE36474",1,0.943442054129077,0.950563332195289,1,1
"GSE78235",0.943442054129077,1,0.987094571526118,0.943442054129077,0.943442054129077
"GSE80608",0.950563332195289,0.987094571526118,1,0.950563332195289,0.950563332195289
"GSE87073",1,0.943442054129077,0.950563332195289,1,1
"GSE46053_Coculture",1,0.943442054129077,0.950563332195289,1,1
