"HGNC.symbol","Score"
"ABCG4",0.000133000943588289
"ABHD1",1
"ABHD10",1.04056556915886e-06
"ABHD11",2.99029998184091e-06
"ABHD12",4.95835199116923e-10
"ABHD12B",1
"ABHD13",0.0072663829946383
"ABHD14A",2.04290997225836e-06
"ABHD14B",0.00011634870592935
"ABHD15",1
"ABHD16A",1.5915051206672e-08
"ABHD16B",1
"ABHD17A",4.13743008608868e-05
"ABHD17B",0.00772475914895321
"ABHD17C",0.00315991472515818
"ABHD18",1
"ABHD2",0.000196542848593654
"ABHD3",7.39643221203002e-05
"ABHD4",1.66173627562745e-06
"ABHD5",3.31394551942162e-06
"ABHD6",4.49693880819541e-06
"ABHD8",2.62918629726955e-08
"ABI1",1.668362522011e-07
"ABI2",1.52278585716724e-06
"ABI3",1
"ABI3BP",0.0542840743424452
"ABITRAM",1
"ABL1",0.0134064986693186
"ABL2",0.00433672546527148
"ABLIM1",5.18049945059543e-05
"ABLIM2",0.000443998058857986
"ABLIM3",0.00017768978977783
"ABO",1
"ABR",1.89670693639438e-07
"ABRA",1
"ABRACL",0.000234097607964944
"ABRAXAS1",1
"ABRAXAS2",1
"ABT1",0.000555043195291681
"ABTB1",2.2323889056517e-05
"ABTB2",6.03003766198653e-05
"ACAA1",0.328322466793309
"ACAA2",3.62502917251274e-08
"ACACA",0.000327307485100519
"ACACB",1
"ACAD10",0.00657100208134486
"ACAD11",0.000523494390748445
"ACAD8",4.16188877281069e-06
"ACAD9",0.000192550988281615
"ACADL",2.99098175776916e-10
"ACADM",6.47036335105207e-08
"ACADS",0.0032239429565888
"ACADSB",6.02964584151064e-05
"ACADVL",3.99950127623451e-05
"ACAN",1
"ACAP1",1
"ACAP2",0.000825973666515004
"ACAP3",8.19580832746806e-06
"ACAT1",1.31982313648526e-08
"ACAT2",0.500000000145882
"ACBD3",5.79235992450115e-05
"ACBD4",1.67201680273029e-07
"ACBD5",2.50198944143414e-07
"ACBD6",0.000134802283692337
"ACBD7",0.00168981963683799
"ACCS",0.00645763514158771
"ACCSL",1
"ACD",0.000123754537544162
"ACE",1
"ACE2",1
"ACER1",1
"ACER2",1
"ACER3",0.000135559300224869
"ACHE",6.04729745510425e-06
"ACIN1",0.00125375731687878
"ACKR1",1.01855570741793e-05
"ACKR2",1
"ACKR3",1
"ACKR4",1
"ACLY",3.78711809297188e-13
"ACMSD",1
"ACO1",5.55670556408303e-05
"ACO2",1.79139061747733e-08
"ACOT1",0.360310344111426
"ACOT2",0.360310344111426
"ACOT9",0.500000064361385
"ACOT11",0.0171239014797261
"ACOT12",1
"ACOT13",1.53282917059863e-11
"ACOT4",1
"ACOT6",0.0557284580734175
"ACOT7",1.61621971588194e-15
"ACOT8",0.000469352390341687
"ACOX1",8.34219603234159e-09
"ACOX2",1
"ACOX3",5.04836138727032e-05
"ACP1",7.40615116040912e-06
"ACP2",3.58710192541908e-06
"ACP5",1
"ACP6",0.350096042911725
"ACP7",1
"ACP3",5.67701408176311e-09
"ACR",1
"ACRBP",1
"ACRV1",1
"ACSBG1",0.0408197212911627
"ACSBG2",1
"ACSF2",1
"ACSF3",0.119619289806927
"ACSL1",1.51826464400026e-05
"ACSL3",1.04814695426318e-05
"ACSL4",6.15619361187288e-06
"ACSL5",3.74597619197331e-07
"ACSL6",1.26635308608494e-05
"ACSM2A",1
"ACSM2B",1
"ACSM3",1
"ACSM4",1
"ACSS1",0.357934699233641
"ACSS2",4.96783214101504e-05
"ACSS3",1
"ACTA1",0.0640318594277886
"ACTA2",1
"ACTB",4.51163166788233e-20
"ACTC1",1
"ACTG1",8.79978849837224e-14
"ACTG2",1
"ACTL10",1
"ACTL6A",6.8848457466243e-05
"ACTL6B",3.48359868422388e-05
"ACTL9",1
"ACTN1",0.00023822476901057
"ACTN2",1
"ACTN3",1
"ACTN4",4.5593413273266e-08
"ACTR10",1.54320834682726e-06
"ACTR1A",6.24216121728721e-12
"ACTR1B",9.1883303374626e-12
"ACTR2",2.00211620863579e-09
"ACTR3",3.29862604019343e-10
"ACTR3B",1.00887252537314e-08
"ACTR3C",1.00887252537314e-08
"ACTR5",1
"ACTR6",5.74917301017975e-06
"ACTR8",0.000108955417292488
"ACTRT3",1
"ACVR1",0.000266339351849108
"ACVR1B",0.00603343319274169
"ACVR1C",1
"ACVR2A",0.000928557179307568
"ACVR2B",0.0975000486030919
"ACVRL1",1
"ABHD14A-ACY1",0.00427870536776958
"ACY1",0.00427870536776958
"ACY3",1
"ACYP2",6.59133958119663e-12
"ADA",0.00238909307726767
"ADAD1",1
"ADAL",0.000472144761331277
"ADAM10",2.32722312173576e-06
"ADAM11",1.00763927547964e-05
"ADAM12",1
"ADAM15",1.32505531248742e-05
"ADAM17",0.00194200884316506
"ADAM2",1
"ADAM21",1
"ADAM22",3.5354609411507e-06
"ADAM23",7.88555118371276e-05
"ADAM28",1
"ADAM29",1
"ADAM32",1
"ADAM33",1
"ADAM8",0.000613213358600409
"ADAM9",1.91775300741745e-06
"ADAMDEC1",1
"ADAMTS1",0.00206713098862345
"ADAMTS10",1
"ADAMTS13",1
"ADAMTS14",1
"ADAMTS15",0.0131396154915002
"ADAMTS16",1
"ADAMTS17",1
"ADAMTS18",1
"ADAMTS19",1
"ADAMTS2",0.974826384188853
"ADAMTS20",1
"ADAMTS3",1
"ADAMTS4",1
"ADAMTS5",0.0566479133323525
"ADAMTS7",1
"ADAMTS8",0.0342405983922377
"ADAMTS9",0.923659969489608
"ADAMTSL1",1
"ADAMTSL2",1
"ADAMTSL3",0.235683101969043
"ADAMTSL4",0.0781821438667443
"ADAMTSL5",1
"ADAP1",5.1728981061784e-08
"ADAP2",1
"ADAR",0.000746083382718773
"ADARB1",0.000823660772134696
"ADARB2",1
"ADAT1",0.000651441941921166
"ADAT2",0.00219759924740313
"ADAT3",0.708119517771103
"ADCK1",0.000532785118735422
"ADCK2",0.019416769191809
"ADCK5",0.000460607661123273
"ADCY1",0.0220534563142456
"ADCY10",1
"ADCY2",0.000180027267561532
"ADCY3",0.137612322696387
"ADCY4",1
"ADCY5",0.00100092007814129
"ADCY6",0.402461381695943
"ADCY7",0.038449462678202
"ADCY8",0.774599667641928
"ADCY9",0.00372976376527317
"ADCYAP1",7.3856341494586e-09
"ADCYAP1R1",1
"ADD1",5.22206106065689e-09
"ADD2",2.96810493509791e-07
"ADD3",0.00314849602011133
"ADGB",1
"ADGRA1",1
"ADGRA2",1
"ADGRA3",1
"ADGRB1",1
"ADGRB2",1
"ADGRB3",1
"ADGRD1",1
"ADGRE5",1
"ADGRF5",1
"ADGRG1",1
"ADGRG2",1
"ADGRG6",1
"ADGRL1",1
"ADGRL2",1
"ADGRL3",1
"ADGRL4",1
"ADH1A",1
"ADH1B",1
"ADH1C",1
"ADH5",4.36424391424729e-06
"ADH6",1
"ADH7",0.857611981385067
"ADHFE1",1
"ADI1",3.86623447733776e-05
"ADIPOQ",1
"ADIPOR1",1.34315950265885e-09
"ADIPOR2",0.000326972077551479
"ADK",5.31981915384876e-09
"ADM",1
"ADM2",1
"ADNP",1
"ADNP2",0.00142532157624595
"ADO",0.000618547934907873
"ADORA1",2.51138381958831e-05
"ADORA2A",0.381128710805899
"ADORA2B",0.00115725089168095
"ADORA3",1
"ADPGK",0.000314453529691582
"ADPRH",6.59754002323639e-10
"ADPRHL1",0.201315906940454
"ADPRM",6.23683367344591e-05
"ADPRS",1
"ADRA1A",1
"ADRA1B",1
"ADRA1D",1
"ADRA2A",0.138389886052326
"ADRA2B",1
"ADRA2C",0.042324179099017
"ADRB1",1
"ADRB2",1
"ADRB3",1
"ADRM1",0.173749881602464
"ADSL",0.000106976712630464
"ADSS2",2.87145226797787e-07
"ADSS1",0.0607717531997267
"ADTRP",1
"AEBP1",1
"AEBP2",0.00132993699895827
"AEN",9.25971653603965e-05
"AFAP1",0.00120084550124905
"AFAP1L1",0.0821253494808939
"AFAP1L2",0.0153103159485972
"AFDN",1
"AFF1",0.00338522859230224
"AFF2",0.406106760160439
"AFF3",0.00552222195463233
"AFF4",3.17359187576065e-05
"AFG1L",1
"AFG3L2",9.16738720930122e-06
"AFMID",1
"AFP",1
"AFTPH",7.11963927542972e-05
"AGA",3.29903096076087e-05
"AGAP1",0.000943241721751511
"AGAP2",0.293278933908086
"AGAP3",5.28999687253645e-07
"AGBL1",1
"AGBL2",1
"AGBL3",0.0055653275920262
"AGBL4",0.727747320669345
"AGBL5",1
"AGER",1
"AGFG1",1.26815149959843e-05
"AGFG2",1.76818831205217e-05
"AGGF1",4.86426958474046e-05
"AGK",0.000888273375688089
"AGL",0.000513845933574859
"AGMO",0.483480827642349
"AGO1",0.419696786822936
"AGO2",0.0376916443303993
"AGO3",0.0281703753813558
"AGO4",1
"AGPAT1",4.83475735235087e-05
"AGPAT2",1
"AGPAT3",0.000156289938831097
"AGPAT4",9.3071661077311e-10
"AGPAT5",6.90992025178219e-05
"AGPS",0.000547532576163879
"AGR2",1
"AGR3",1
"AGRN",0.00371181498460845
"AGRP",0.00944951082528523
"AGT",0.00616410279512327
"AGTPBP1",7.90334880100291e-08
"AGTR1",0.000333929264790024
"AGTR2",1
"AGTRAP",1.03758332762016e-05
"AHCTF1",0.0041186354562988
"AHCY",0.500597187431495
"AHCYL1",1.5633298697532e-06
"AHCYL2",0.00118793562141611
"AHDC1",0.539979459820314
"AHI1",6.66560643591105e-05
"AHNAK",1.02250614294716e-06
"AHNAK2",1
"AHR",0.00442333589406571
"AHRR",1
"AHSA1",2.17521204108262e-10
"SMIM29",6.27917202817899e-11
"C8orf48",1
"C16orf54",1
"C11orf87",2.5681403825524e-05
"C2orf49",4.87635171864997e-05
"C6orf132",1
"C11orf68",6.67557953137217e-08
"AICDA",1
"AIDA",0.000141596609718748
"AIF1",0.640274678433311
"AIF1L",0.249695303379953
"AIFM1",1.66845030868925e-05
"AIFM2",0.0248825873430103
"AIFM3",0.0126465369122781
"AIG1",2.26155766046343e-06
"AIM2",1
"AIMP1",2.19014404154557e-06
"AIMP2",1.84410831516675e-07
"AIP",1.38980022993822e-12
"AIPL1",1
"AIRE",1
"AJM1",1
"AJUBA",1
"AK1",3.05175393988503e-10
"ISCA1",0.500768119478644
"AK2",1.14717270932599e-07
"AK3",6.89070581022528e-06
"AK4",0.902096763740903
"AK4P3",0.902096763740903
"AK5",2.42832510917991e-05
"TAF9",0.101802321948256
"AK7",1
"AK8",0.0133308360896191
"AK9",1
"AKAIN1",1
"AKAP1",0.000318686776906681
"AKAP10",0.000567583557647272
"AKAP11",0.00034692151266364
"AKAP12",4.85276062056893e-12
"AKAP13",0.000559376486324088
"AKAP14",1
"AKAP3",1
"AKAP5",1
"AKAP6",1.99308346047458e-07
"AKAP7",0.000659592306734624
"AKAP8",3.57708733964773e-05
"AKAP8L",0.000117070813057123
"AKAP9",0.000121810716180172
"AKIP1",0.00235748836306091
"AKIRIN1",6.04729745510425e-06
"AKIRIN2",3.867978155445e-06
"AKNA",1
"AKR1A1",2.34753396610123e-20
"AKR1B10",0.350428466018836
"AKR1B1",0.0453822418805187
"AKR1D1",1
"AKR1E2",6.64959874316239e-05
"AKR7L",2.27685648780044e-06
"AKT1",4.83190095980835e-09
"AKT1S1",4.92495081627008e-05
"AKT2",8.74527678980541e-05
"AKT3",2.26620091592208e-05
"AKTIP",7.18936430658985e-09
"ALAD",0.000148697601015514
"ALAS1",0.000261090366926259
"ALAS2",0.939626555443289
"ALCAM",6.16571765865654e-08
"ALDH16A1",0.00515017179119574
"ALDH18A1",0.000391400079536624
"ALDH1A1",1
"ALDH1A2",1
"ALDH1A3",0.349373859756576
"ALDH1B1",0.00273276006587957
"ALDH1L1",0.414920757196565
"ALDH1L2",0.386962464615293
"ALDH2",0.000820433105920635
"ALDH3A1",1
"ALDH3A2",6.92485063485837e-07
"ALDH3B1",0.000681993753109716
"ALDH3B2",1
"ALDH4A1",0.0121501174113768
"ALDH5A1",0.0219553646790511
"ALDH6A1",0.000150355490239377
"ALDH7A1",3.79324750889109e-05
"ALDH8A1",1
"ALDH9A1",5.40558154043292e-06
"ALDOA",0.246887681448047
"ALDOB",1
"ALDOC",5.44170222908066e-07
"ALG1",8.67542088244286e-05
"ALG1L2",8.67542088244286e-05
"ALG10",0.0052065629188374
"ALG10B",0.0052065629188374
"ALG11",6.59384391284495e-05
"ALG12",0.00159386193353611
"ALG13",0.00241329643345366
"ALG14",1.37969936321764e-07
"ALG2",7.47440273904678e-09
"ALG3",0.000128881776477433
"ALG5",3.0248039766559e-05
"ALG6",0.00146879270773423
"ALG8",0.000373264234206032
"ALG9",0.00245001537884783
"ALK",1
"ALKAL2",1
"ALKBH1",0.150672158826537
"ALKBH2",0.00742053705528296
"ALKBH3",3.75213349007105e-06
"ALKBH4",0.00207242476096952
"ALKBH5",0.000388258213267729
"ALKBH6",8.86777761872387e-06
"ALKBH7",1.55786846086946e-06
"ALKBH8",0.000858973775516995
"ALMS1",1
"ALOX12",1
"ALOX12B",1
"ALOX5",1
"ALOX5AP",0.0707363518535725
