"GENEID","SYMBOL","tpm_counts"
"ENSMUSG00000023064 "," Sncg",21773.4620019088
"ENSMUSG00000049775 "," Tmsb4x",11679.1770856044
"ENSMUSG00000030669 "," Calca",11466.2110821881
"ENSMUSG00000098178 , ENSMUSG00000105361 "," Yam1",9613.48966491048
"ENSMUSG00000024661 "," Fth1",6641.1612489531
"ENSMUSG00000041571 "," Sepw1",6576.01545918479
"ENSMUSG00000030695 "," Aldoa",6551.53403024378
"ENSMUSG00000072235 "," Tuba1a",6484.81825454619
"ENSMUSG00000001175 "," Calm1",6363.48077058417
"ENSMUSG00000064370 "," mt-Cytb",6108.90151374591
"ENSMUSG00000036438 "," Calm2",5585.59587411333
"ENSMUSG00000059412 "," Fxyd2",5267.13026676868
"ENSMUSG00000014846 "," Tppp3",5062.30748707338
"ENSMUSG00000071866 "," Ppia",4514.93448072289
"ENSMUSG00000015656 "," Hspa8",4312.02673880945
"ENSMUSG00000106106 "," Rn18s-rs5",4269.25756168136
"ENSMUSG00000064341 "," mt-Nd1",4220.05316750254
"ENSMUSG00000054428 "," Atpif1",4100.66522650764
"ENSMUSG00000079523 "," Tmsb10",4086.19030129163
"ENSMUSG00000019505 "," Ubb",4021.54483670956
"ENSMUSG00000064339 "," mt-Rnr2",3797.69244734412
"ENSMUSG00000064351 "," mt-Co1",3478.81277777637
"ENSMUSG00000102349 "," Gm37376",3346.00231971585
"ENSMUSG00000050856 "," Atp5k",3271.98869733607
"ENSMUSG00000029580 "," Actb",3255.80576544977
"ENSMUSG00000105031 "," Gm3511",3122.51223479562
"ENSMUSG00000023944 "," Hsp90ab1",3086.85112583082
"ENSMUSG00000030342 "," Cd9",3060.81696355317
"ENSMUSG00000092341 "," Malat1",3020.39413902267
"ENSMUSG00000041697 "," Cox6a1",2983.47359079592
"ENSMUSG00000028843 "," Sh3bgrl3",2918.94889436226
"ENSMUSG00000027712 "," Anxa5",2914.46322027864
"ENSMUSG00000102252 "," Snrpn",2801.92455855758
"ENSMUSG00000027500 "," Stmn2",2755.87738882992
"ENSMUSG00000032231 "," Anxa2",2721.23418283024
"ENSMUSG00000020267 "," Hint1",2661.67823307382
"ENSMUSG00000036751 "," Cox6b1",2560.11222026501
"ENSMUSG00000022884 "," Eif4a2",2547.41431208983
"ENSMUSG00000050708 "," Ftl1",2544.65389726913
"ENSMUSG00000014313 "," Cox6c",2474.09079341521
"ENSMUSG00000027273 "," Snap25",2456.52765411856
"ENSMUSG00000029223 "," Uchl1",2430.95931184191
"ENSMUSG00000098536 "," Gm27868",2415.67351477233
"ENSMUSG00000031708 "," Tecr",2410.16993772357
"ENSMUSG00000022048 "," Dpysl2",2386.43037026563
"ENSMUSG00000036309 "," Skp1a",2321.87116864671
"ENSMUSG00000022982 "," Sod1",2318.78295456606
"ENSMUSG00000031633 "," Slc25a4",2316.31583382006
"ENSMUSG00000030666 "," Calcb",2310.17391084403
"ENSMUSG00000022055 "," Nefl",2249.72082627088
"ENSMUSG00000036564 "," Ndrg4",2248.47863960157
"ENSMUSG00000041959 "," S100a10",2246.87414848705
"ENSMUSG00000022816 "," Fstl1",2211.6616069306
"ENSMUSG00000060143 "," Gm10076",2208.76317136888
"ENSMUSG00000027581 "," Stmn3",2195.61669578533
"ENSMUSG00000002985 "," Apoe",2178.19157722972
"ENSMUSG00000029632 "," Ndufa4",2054.40422511434
"ENSMUSG00000019923 "," Zwint",2025.92019468333
"ENSMUSG00000031760 "," Mt3",1977.11261013498
"ENSMUSG00000037742 "," Eef1a1",1967.72719974463
"ENSMUSG00000038690 "," Atp5j2",1938.4668026453
"ENSMUSG00000057666 "," Gapdh",1935.49935671305
"ENSMUSG00000001025 "," S100a6",1917.17710334071
"ENSMUSG00000071658 "," Gng3",1860.01926395977
"ENSMUSG00000105796 "," RP23-440C1.3",1834.95124686937
"ENSMUSG00000020163 "," Uqcr11",1828.36075648497
"ENSMUSG00000040952 "," Rps19",1823.35750462246
"ENSMUSG00000023048 "," Prr13",1817.28459201694
"ENSMUSG00000006356 "," Crip2",1810.12476607577
"ENSMUSG00000047557 "," Lxn",1809.27938903694
"ENSMUSG00000019179 "," Mdh2",1807.77841347819
"ENSMUSG00000029462 "," Vps29",1805.82887051107
"ENSMUSG00000052727 "," Map1b",1799.41090605297
"ENSMUSG00000084786 "," Ubl5",1780.53656971649
"ENSMUSG00000017778 "," Cox7c",1740.0619874081
"ENSMUSG00000032294 "," Pkm",1739.37188370293
"ENSMUSG00000037152 "," Ndufc1",1735.36928221292
"ENSMUSG00000056201 "," Cfl1",1732.35007850279
"ENSMUSG00000022956 "," Atp5o",1722.60926470428
"ENSMUSG00000044894 "," Uqcrq",1710.15461808517
"ENSMUSG00000044285 "," Gm1821",1663.42942146718
"ENSMUSG00000064337 "," mt-Rnr1",1653.72311285392
"ENSMUSG00000046727 "," Cystm1",1646.04053335609
"ENSMUSG00000046275 "," Tusc5",1638.01462726493
"ENSMUSG00000093674 "," Rpl41",1609.43915809298
"ENSMUSG00000035242 "," Oaz1",1596.67396480655
"ENSMUSG00000028937 "," Acot7",1594.31898591265
"ENSMUSG00000061762 "," Tac1",1545.51657714208
"ENSMUSG00000024608 "," Rps14",1534.61293860035
"ENSMUSG00000036752 "," Tubb4b",1500.67018786143
"ENSMUSG00000004285 "," Atp6v1f",1491.17263561898
"ENSMUSG00000018286 "," Psmb6",1489.01433628105
"ENSMUSG00000018217 "," Pmp22",1486.08657131186
"ENSMUSG00000020849 "," Ywhae",1465.48352519392
"ENSMUSG00000018585 "," Atox1",1450.56348308809
"ENSMUSG00000035885 "," Cox8a",1437.72065313482
"ENSMUSG00000028692 "," Akr1a1",1417.07620079457
"ENSMUSG00000062825 "," Actg1",1406.61940440194
"ENSMUSG00000026385 "," Dbi",1404.15573417447
"ENSMUSG00000063882 "," Uqcrh",1400.72936927829
"ENSMUSG00000034892 "," Rps29",1393.65063052248
"ENSMUSG00000028964 "," Park7",1393.64890526322
"ENSMUSG00000032330 "," Cox7a2",1382.41574220227
"ENSMUSG00000025204 "," Ndufb8",1352.96729184328
"ENSMUSG00000021939 "," Ctsb",1345.60733582761
"ENSMUSG00000009549 "," Srp14",1343.86309871279
"ENSMUSG00000001525 "," Tubb5",1340.20209855684
"ENSMUSG00000022450 "," Ndufa6",1332.4781128367
"ENSMUSG00000016319 "," Slc25a5",1330.80116083313
"ENSMUSG00000006057 "," Atp5g1",1327.36444438137
"ENSMUSG00000033379 "," Atp6v0b",1308.51253641531
"ENSMUSG00000020321 "," Mdh1",1290.89936460003
"ENSMUSG00000016252 "," Atp5e",1280.59439102254
"ENSMUSG00000064345 "," mt-Nd2",1275.00800152916
"ENSMUSG00000105814 "," mmu-mir-703",1274.00390063814
"ENSMUSG00000064363 "," mt-Nd4",1269.6631483326
"ENSMUSG00000058672 "," Tubb2a",1254.83109444917
"ENSMUSG00000003429 "," Rps11",1232.38547143842
"ENSMUSG00000055839 "," Tceb2",1230.30308350807
"ENSMUSG00000062591 "," Tubb4a",1225.78462949845
"ENSMUSG00000023236 "," Scg5",1225.37056727534
"ENSMUSG00000037894 "," H2afz",1210.8973673186
"ENSMUSG00000047139 "," Cd24a",1192.16967801948
"ENSMUSG00000022658 "," Tagln3",1189.57661334729
"ENSMUSG00000032118 "," Fez1",1185.0288299302
"ENSMUSG00000090223 "," Pcp4",1175.11894072392
"ENSMUSG00000060147 "," Serpinb6a",1167.91770856044
"ENSMUSG00000028367 "," Txn1",1164.06347936705
"ENSMUSG00000027447 "," Cst3",1162.12601321478
"ENSMUSG00000005161 "," Prdx2",1151.06537608012
"ENSMUSG00000009013 "," Dynll1",1147.63383540615
"ENSMUSG00000063229 "," Ldha",1139.96678324168
"ENSMUSG00000019874 "," Fabp7",1121.58759631366
"ENSMUSG00000006333 "," Rps9",1115.17308237408
"ENSMUSG00000036305 "," Rpl39-ps",1113.86706111204
"ENSMUSG00000022890 "," Atp5j",1109.40209013957
"ENSMUSG00000030844 "," Rgs10",1100.88966093626
"ENSMUSG00000034566 "," Atp5h",1089.54608128248
"ENSMUSG00000046516 "," Cox17",1086.5665585354
"ENSMUSG00000035530 "," Eif1",1080.49537118914
"ENSMUSG00000038274 "," Fau",1074.25510843512
"ENSMUSG00000074129 "," Rpl13a",1070.78733731662
"ENSMUSG00000093989 "," Rnasek",1063.79831204248
"ENSMUSG00000033208 "," S100b",1060.5720772208
"ENSMUSG00000026547 "," Tagln2",1056.31068684136
"ENSMUSG00000028249 "," Sdcbp",1050.5655734958
"ENSMUSG00000038530 "," Rgs4",1046.16443711606
"ENSMUSG00000010376 "," Nedd8",1043.06587147983
"ENSMUSG00000002416 "," Ndufb2",1040.84373754917
"ENSMUSG00000047459 "," Dynlrb1",1034.41887205401
"ENSMUSG00000034683 "," Ppp1r1c",1033.62870331159
"ENSMUSG00000031137 "," Fgf13",1032.68671175403
"ENSMUSG00000057841 "," Rpl32",1030.5749944162
"ENSMUSG00000023904 "," Hcfc1r1",1028.1406535962
"ENSMUSG00000027566 "," Psma7",1022.34378247275
"ENSMUSG00000034868 "," Myl12b",1018.73971587249
"ENSMUSG00000073616 "," Myeov2",1014.59391786366
"ENSMUSG00000075706 "," Gpx4",1013.29997341646
"ENSMUSG00000057322 "," Rpl38",1008.09486622019
"ENSMUSG00000042682 "," Selk",1004.01462806336
"ENSMUSG00000021290 "," 2010107E04Rik",995.545330341627
"ENSMUSG00000064215 "," Ifi27",993.261087077505
"ENSMUSG00000024038 "," Ndufv3",993.211054558879
"ENSMUSG00000007891 "," Ctsd",992.184525297434
"ENSMUSG00000090137 "," Uba52",984.612362392426
"ENSMUSG00000038717 "," Atp5l",973.154915627293
"ENSMUSG00000074800 "," Gm4149",970.703322214667
"ENSMUSG00000024646 "," Cyb5a",965.903650945189
"ENSMUSG00000021520 "," Uqcrb",959.554696857599
"ENSMUSG00000025432 "," Avil",958.379795299542
"ENSMUSG00000070394 "," Tmem256",952.865866695211
"ENSMUSG00000030246 "," Ldhb",952.017039137848
"ENSMUSG00000021087 "," Rtn1",951.701316692732
"ENSMUSG00000016427 "," Ndufa1",951.570196988749
"ENSMUSG00000064367 "," mt-Nd5",948.226644537186
"ENSMUSG00000040048 "," Ndufb10",945.179836678848
"ENSMUSG00000037710 "," Cisd1",940.870139040044
"ENSMUSG00000014769 "," Psmb1",938.37886466437
"ENSMUSG00000021606 "," Ndufs6",917.123670545046
"ENSMUSG00000022205 "," Sub1",914.328750539096
"ENSMUSG00000019054 "," Fis1",911.180152384245
