"MGI.symbol","Score"
"Atp6v0b",1.58198111663082e-14
"Tubb4a",1.59950981670261e-14
"Ftl1",1.75725882510632e-14
"Sdcbp",1.80419526406998e-14
"Mdh1",1.84303032472619e-14
"Psmb6",1.90479453696344e-14
"Atp5g3",1.98267848840766e-14
"Arpc5",2.01041429926988e-14
"mt-Co1",2.02432839567851e-14
"Atp1b3",2.16713971956333e-14
"Gap43",2.24981991697892e-14
"Uqcr11",2.33179881311869e-14
"Snrpn",2.50376067374542e-14
"Bcap31",2.59452243849819e-14
"Degs1",2.64948912008732e-14
"Snap25",2.67736355515014e-14
"Psmb5",2.79152007258536e-14
"Cstb",2.79152007258536e-14
"Flot1",3.68383314685141e-14
"Bsg",3.85800687025541e-14
"Eif4a2",3.990254318546e-14
"Tmsb10",4.05787606735874e-14
"Aplp2",4.07455334196324e-14
"Nefm",4.12651402331884e-14
"Ifi27",4.12651402331884e-14
"Ckb",4.32651042812114e-14
"Avil",5.16875379174221e-14
"Rgs10",5.46234893431874e-14
"Rab11a",5.92286620942632e-14
"Atxn10",5.98034141969362e-14
"Gstm5",6.21529601584143e-14
"Lix1",6.52065659564592e-14
"Nap1l5",6.83945372205491e-14
"Cox7a2l",6.90487124809136e-14
"Dpysl2",6.9612655360309e-14
"Timm8b",7.17221039436226e-14
"Sdhd",7.66255477549456e-14
"Cox7b",8.10664119964802e-14
"Trappc1",8.5737583387427e-14
"Psmd7",8.5737583387427e-14
"Atp6v1b2",8.65392380660491e-14
"Hcfc1r1",8.65392380660491e-14
"Actg1",8.79978849837224e-14
"Rps5",8.91493498184902e-14
"Ppp1ca",8.9813758593492e-14
"Pcmt1",9.40635243254613e-14
"Ndufb10",9.66994191712235e-14
"Map1b",9.77199811001804e-14
"S100b",9.92174470295206e-14
"Rtn3",1.00317322111004e-13
"Psma7",1.05413251348787e-13
"Mdh2",1.09900992461267e-13
"Ctsl",1.1191377595543e-13
"Eef2",1.1191377595543e-13
"Chchd2",1.1191377595543e-13
"Clic1",1.12932556240316e-13
"Psmc3",1.1709167767033e-13
"Ndufa5",1.19222496731239e-13
"Capns1",1.20626848096782e-13
"Napa",1.21388151234951e-13
"Tspan17",1.22484199437536e-13
"Rpl41",1.24771364383684e-13
"Prdx5",1.37566386530691e-13
"Cnbp",1.37566386530691e-13
"Smdt1",1.41849375582342e-13
"Praf2",1.52950550772813e-13
"Npdc1",1.57030809248444e-13
"Pcp4",1.72812405175405e-13
"Reep2",1.93369368195938e-13
"Pmm1",1.98406936930803e-13
"Atp6v1g1",2.04839318861853e-13
"Rnf14",2.08837936684534e-13
"Flot2",2.11564224956456e-13
"Myl12b",2.1754632718642e-13
"Pirt",2.23513207079759e-13
"Dynll1",2.33150104350765e-13
"Chmp3",2.59980566109098e-13
"Sqstm1",2.62155213299926e-13
"B2m",2.62155213299926e-13
"Cdipt",2.73276006587958e-13
"Ptma",2.98185639734874e-13
"Nop10",3.0171806068276e-13
"Elavl4",3.35512692258611e-13
"Ube2b",3.52229252336763e-13
"Cfdp1",3.69691709160581e-13
"Ndufs2",3.69691709160581e-13
"Acly",3.78711809297188e-13
"Pfn1",3.8483474717283e-13
"Ndn",4.06973079852137e-13
"Ppp2r1a",4.30251084509613e-13
"Sdhb",4.58316649304769e-13
"Cacybp",4.91851351879341e-13
"Cct2",5.03510667955978e-13
"Ndufv2",5.23496634103415e-13
"Epdr1",5.35828152300302e-13
"Brk1",5.4174051155484e-13
"Fam189b",5.4419376448497e-13
"Atp6v0d1",5.48420491215667e-13
"Scg2",5.48420491215667e-13
"Ndufs6",5.52676740936762e-13
"Ppp2r2b",5.56962696806863e-13
"Trappc4",5.83312643801633e-13
"Dstn",5.91319918684487e-13
"Sri",6.10779286672276e-13
"Tusc5",6.21425009738578e-13
"Ppia",6.30642844565622e-13
