"GENEID","SYMBOL","tpm_counts"
"ENSMUSG00000023064","Sncg",24178.8495103389
"ENSMUSG00000044285","Gm1821",15173.6540882561
"ENSMUSG00000059412","Fxyd2",12641.9069867065
"ENSMUSG00000019505","Ubb",10718.3866110586
"ENSMUSG00000041697","Cox6a1",9565.69950335574
"ENSMUSG00000014846","Tppp3",9098.9383987949
"ENSMUSG00000029580","Actb",8356.0147139079
"ENSMUSG00000022816","Fstl1",8157.85947388782
"ENSMUSG00000062380","Tubb3",7855.90346128197
"ENSMUSG00000071866","Ppia",7363.91734442913
"ENSMUSG00000024661","Fth1",6856.78009701621
"ENSMUSG00000049775","Tmsb4x",6434.36871557268
"ENSMUSG00000030695","Aldoa",6312.76008219709
"ENSMUSG00000030669","Calca",6129.19325031597
"ENSMUSG00000015656","Hspa8",5733.43833757025
"ENSMUSG00000022982","Sod1",5078.60571010422
"ENSMUSG00000029064","Gnb1",5046.79816102894
"ENSMUSG00000022055","Nefl",4802.2448495631
"ENSMUSG00000050708","Ftl1",4641.31155293521
"ENSMUSG00000022048","Dpysl2",4300.54306093181
"ENSMUSG00000032231","Anxa2",4145.54692093414
"ENSMUSG00000052727","Map1b",4130.91784503748
"ENSMUSG00000041571","Sepw1",3760.78676887985
"ENSMUSG00000071072","Ptges3",3748.37487067628
"ENSMUSG00000023004","Tuba1b",3578.48599255607
"ENSMUSG00000036438","Calm2",3506.74576036049
"ENSMUSG00000028843","Sh3bgrl3",3473.40556950822
"ENSMUSG00000030342","Cd9",3423.71060844229
"ENSMUSG00000022285","Ywhaz",3418.30161243124
"ENSMUSG00000029223","Uchl1",3328.01823146737
"ENSMUSG00000031633","Slc25a4",3305.79672895524
"ENSMUSG00000002985","Apoe",3298.60688567638
"ENSMUSG00000072235","Tuba1a",3232.90453087594
"ENSMUSG00000006356","Crip2",2987.77961802205
"ENSMUSG00000054428","Atpif1",2897.82532795323
"ENSMUSG00000023944","Hsp90ab1",2887.93842218296
"ENSMUSG00000036309","Skp1a",2810.81176468981
"ENSMUSG00000062825","Actg1",2809.28871895633
