sample ,genotype
A24.10,MM
A26.6B,MM
A26.8,MM
A26.9B,MM
A26.10B,MM
A26.11,MM
A26.12,MM
A27.12,MM
A26.13,MM
A26.14,MM
A19.1,MM
A26.15B,MM
A19.8,MM
A19.2,MM
A24.7,MM
A19.5,MM
A19.6,MM
A24.8,MM
A17.5,MM
A17.9,MM
A24.11,MM
A27.18,MM
A27.19,MM
A27.20,MM
A26.1,MM
A24.4,MM
A28.13,MM
A28.15,MM
"A26.18,A26.19",HD
A28c.14,HD
"A27.21,A27.22",HD
