"GENEID","SYMBOL","tpm_counts"
"ENSMUSG00000023064 "," Sncg",22154.2145795128
"ENSMUSG00000030669 "," Calca",14010.1467692514
"ENSMUSG00000072235 "," Tuba1a",11103.5569590052
"ENSMUSG00000049775 "," Tmsb4x",7830.87605265749
"ENSMUSG00000030695 "," Aldoa",7451.51577305619
"ENSMUSG00000041571 "," Sepw1",6827.7754508181
"ENSMUSG00000106106 "," Rn18s-rs5",6617.3311675864
"ENSMUSG00000001175 "," Calm1",6454.428878712
"ENSMUSG00000024661 "," Fth1",6321.55964821335
"ENSMUSG00000015656 "," Hspa8",6034.00154055204
"ENSMUSG00000059412 "," Fxyd2",5354.06232349156
"ENSMUSG00000019505 "," Ubb",5345.52959987743
"ENSMUSG00000014846 "," Tppp3",5046.70687788145
"ENSMUSG00000064370 "," mt-Cytb",4867.2713282828
"ENSMUSG00000036438 "," Calm2",4839.52667187427
"ENSMUSG00000102349 "," Gm37376",4771.83254856547
"ENSMUSG00000071866 "," Ppia",4233.15336921672
"ENSMUSG00000027712 "," Anxa5",4022.10594128047
"ENSMUSG00000030342 "," Cd9",4003.53263229087
"ENSMUSG00000032231 "," Anxa2",3803.74981868929
"ENSMUSG00000023944 "," Hsp90ab1",3590.48494698637
"ENSMUSG00000028843 "," Sh3bgrl3",3539.82079180558
"ENSMUSG00000092341 "," Malat1",3506.48817710505
"ENSMUSG00000105031 "," Gm3511",3374.82523601546
"ENSMUSG00000054428 "," Atpif1",3359.03703639679
"ENSMUSG00000064339 "," mt-Rnr2",3353.18298485279
"ENSMUSG00000064341 "," mt-Nd1",3202.98221387387
"ENSMUSG00000036564 "," Ndrg4",3129.06150846828
"ENSMUSG00000079523 "," Tmsb10",3015.49290851469
"ENSMUSG00000027500 "," Stmn2",3008.00681835842
"ENSMUSG00000102252 "," Snrpn",2978.43498828615
"ENSMUSG00000076031 "," Gm22751",2897.2410673259
"ENSMUSG00000041697 "," Cox6a1",2740.40570459711
"ENSMUSG00000022816 "," Fstl1",2702.37210911124
"ENSMUSG00000050708 "," Ftl1",2695.84395466218
"ENSMUSG00000064351 "," mt-Co1",2668.43634970618
"ENSMUSG00000031708 "," Tecr",2611.06664457499
"ENSMUSG00000019923 "," Zwint",2551.78106802939
"ENSMUSG00000030666 "," Calcb",2519.53056588699
"ENSMUSG00000098178 , ENSMUSG00000105361 "," Yam1",2505.90659138459
"ENSMUSG00000037742 "," Eef1a1",2483.35962316513
"ENSMUSG00000022055 "," Nefl",2481.6921054526
"ENSMUSG00000057666 "," Gapdh",2475.43004425553
"ENSMUSG00000032294 "," Pkm",2439.29458063393
"ENSMUSG00000047557 "," Lxn",2432.00362552913
"ENSMUSG00000084368 "," Gm11572",2403.4606893646
"ENSMUSG00000006356 "," Crip2",2359.75043783607
"ENSMUSG00000028937 "," Acot7",2334.77315124834
"ENSMUSG00000031633 "," Slc25a4",2326.24042763421
"ENSMUSG00000044285 "," Gm1821",2312.52775538114
"ENSMUSG00000027581 "," Stmn3",2264.82610507261
"ENSMUSG00000060143 "," Gm10076",2252.44389907955
"ENSMUSG00000027273 "," Snap25",2211.02204951822
"ENSMUSG00000029223 "," Uchl1",2179.39243163049
"ENSMUSG00000036309 "," Skp1a",2125.81899022782
"ENSMUSG00000041959 "," S100a10",2125.09166867236
"ENSMUSG00000019179 "," Mdh2",2114.05766848943
"ENSMUSG00000023048 "," Prr13",2106.87315068543
"ENSMUSG00000018217 "," Pmp22",2080.12190908436
"ENSMUSG00000020267 "," Hint1",2063.51769015956
"ENSMUSG00000029580 "," Actb",2016.08213310303
"ENSMUSG00000071658 "," Gng3",1993.8722163361
"ENSMUSG00000052727 "," Map1b",1978.95325467397
"ENSMUSG00000035242 "," Oaz1",1974.41192983984
"ENSMUSG00000022048 "," Dpysl2",1969.1787625505
"ENSMUSG00000062825 "," Actg1",1943.42093575691
"ENSMUSG00000098973 "," Mir6236",1885.34164862038
"ENSMUSG00000046275 "," Tusc5",1884.98685761771
"ENSMUSG00000050856 "," Atp5k",1880.78258423611
"ENSMUSG00000018286 "," Psmb6",1841.27660608918
"ENSMUSG00000036751 "," Cox6b1",1822.24206879612
"ENSMUSG00000022956 "," Atp5o",1778.05284941399
"ENSMUSG00000036752 "," Tubb4b",1761.5692594301
"ENSMUSG00000056201 "," Cfl1",1731.85196504674
"ENSMUSG00000062591 "," Tubb4a",1699.71322207018
"ENSMUSG00000061762 "," Tac1",1687.7017726749
"ENSMUSG00000014313 "," Cox6c",1680.40904361509
"ENSMUSG00000064337 "," mt-Rnr1",1673.54206375848
"ENSMUSG00000025432 "," Avil",1648.5186543404
"ENSMUSG00000027447 "," Cst3",1636.57284128061
"ENSMUSG00000028692 "," Akr1a1",1594.62235312531
"ENSMUSG00000058672 "," Tubb2a",1573.23377752955
"ENSMUSG00000021939 "," Ctsb",1563.2215754343
"ENSMUSG00000001025 "," S100a6",1552.85990420142
"ENSMUSG00000001525 "," Tubb5",1550.5023179887
"ENSMUSG00000068923 "," Syt11",1545.71086549769
"ENSMUSG00000020849 "," Ywhae",1543.03751529259
"ENSMUSG00000032118 "," Fez1",1530.56661154886
"ENSMUSG00000022982 "," Sod1",1521.24979981884
"ENSMUSG00000016319 "," Slc25a5",1514.77309006516
"ENSMUSG00000026547 "," Tagln2",1501.84982779302
"ENSMUSG00000007891 "," Ctsd",1501.69017184182
"ENSMUSG00000031760 "," Mt3",1484.0978599746
"ENSMUSG00000080941 "," Gm16056",1482.79222908479
"ENSMUSG00000055839 "," Tceb2",1482.59886798833
"ENSMUSG00000046727 "," Cystm1",1462.79443421948
"ENSMUSG00000040952 "," Rps19",1452.73610929388
"ENSMUSG00000038530 "," Rgs4",1430.28138673511
"ENSMUSG00000020163 "," Uqcr11",1425.04999340079
"ENSMUSG00000093674 "," Rpl41",1422.72966024335
"ENSMUSG00000029632 "," Ndufa4",1395.71764725532
"ENSMUSG00000015291 "," Gdi1",1376.21478583874
"ENSMUSG00000038690 "," Atp5j2",1358.7803559677
"ENSMUSG00000044894 "," Uqcrq",1344.34036215917
"ENSMUSG00000037894 "," H2afz",1334.94549640856
"ENSMUSG00000035885 "," Cox8a",1333.34893689656
"ENSMUSG00000024608 "," Rps14",1328.58586768576
"ENSMUSG00000006333 "," Rps9",1310.73810629661
"ENSMUSG00000028964 "," Park7",1307.02699240872
"ENSMUSG00000028249 "," Sdcbp",1306.49125799469
"ENSMUSG00000063229 "," Ldha",1300.1192115868
"ENSMUSG00000084786 "," Ubl5",1299.65088746328
"ENSMUSG00000029462 "," Vps29",1297.61970897301
"ENSMUSG00000017778 "," Cox7c",1279.21315175467
"ENSMUSG00000009549 "," Srp14",1225.35410359486
"ENSMUSG00000064215 "," Ifi27",1221.96584951939
"ENSMUSG00000003429 "," Rps11",1205.70932577721
"ENSMUSG00000005161 "," Prdx2",1184.27640130612
"ENSMUSG00000004285 "," Atp6v1f",1181.07086459702
"ENSMUSG00000025204 "," Ndufb8",1180.75864851468
"ENSMUSG00000033379 "," Atp6v0b",1179.10000057721
"ENSMUSG00000006360 "," Crip1",1174.71300982924
"ENSMUSG00000020321 "," Mdh1",1172.13722714988
"ENSMUSG00000060147 "," Serpinb6a",1167.18257079764
"ENSMUSG00000006057 "," Atp5g1",1141.6056874154
"ENSMUSG00000093989 "," Rnasek",1140.51115717217
"ENSMUSG00000025132 "," Arhgdia",1137.22934039751
"ENSMUSG00000059743 "," Fdps",1136.96324714551
"ENSMUSG00000030844 "," Rgs10",1131.68218307081
"ENSMUSG00000037152 "," Ndufc1",1124.61119838767
"ENSMUSG00000023236 "," Scg5",1122.24119448985
"ENSMUSG00000034868 "," Myl12b",1110.58631005226
"ENSMUSG00000018585 "," Atox1",1104.15572312892
"ENSMUSG00000100801 "," Gm15459",1090.52287885146
"ENSMUSG00000022884 "," Eif4a2",1079.65208252975
"ENSMUSG00000022450 "," Ndufa6",1075.9196811817
"ENSMUSG00000001270 "," Ckb",1072.20501938378
"ENSMUSG00000003380 "," Rabac1",1068.28990066935
"ENSMUSG00000031137 "," Fgf13",1054.93379337397
"ENSMUSG00000022658 "," Tagln3",1047.1283913153
"ENSMUSG00000034683 "," Ppp1r1c",1039.72035517962
"ENSMUSG00000034892 "," Rps29",1036.24162939847
"ENSMUSG00000027566 "," Psma7",1030.88428525821
"ENSMUSG00000034566 "," Atp5h",1025.81609578512
"ENSMUSG00000036427 "," Gpi1",1002.35376677877
"ENSMUSG00000025651 , ENSMUSG00000107235 "," Uqcrc1",1002.06106420157
"ENSMUSG00000023004 "," Tuba1b",997.280255440638
"ENSMUSG00000022841 "," Ap2m1",995.284556050639
"ENSMUSG00000038274 "," Fau",982.804782531839
"ENSMUSG00000018340 "," Anxa6",960.953204677601
"ENSMUSG00000057841 "," Rpl32",959.938502409974
"ENSMUSG00000039347 "," Atp6v0e2",948.865475216748
"ENSMUSG00000016252 "," Atp5e",942.727590870616
"ENSMUSG00000064367 "," mt-Nd5",940.130520731096
"ENSMUSG00000007564 "," Ppp2r1a",937.137858623603
"ENSMUSG00000002985 "," Apoe",922.733343915338
"ENSMUSG00000021477 "," Ctsl",922.623358704511
"ENSMUSG00000030654 "," Arl6ip1",921.291118489497
"ENSMUSG00000040048 "," Ndufb10",920.679104009898
"ENSMUSG00000010376 "," Nedd8",919.893241938991
"ENSMUSG00000063524 "," Eno1",916.810108125818
"ENSMUSG00000019874 "," Fabp7",913.102542147951
"ENSMUSG00000074129 "," Rpl13a",913.047549542538
"ENSMUSG00000014769 "," Psmb1",912.902085231445
"ENSMUSG00000009013 "," Dynll1",912.520684903579
"ENSMUSG00000012848 "," Rps5",912.004463994699
"ENSMUSG00000023904 "," Hcfc1r1",911.493564950858
"ENSMUSG00000063882 "," Uqcrh",908.078701550192
"ENSMUSG00000047459 "," Dynlrb1",903.093887962726
"ENSMUSG00000025428 "," Atp5a1",901.983392124379
"ENSMUSG00000069744 "," Psmb3",901.452979575392
"ENSMUSG00000067274 "," Rplp0",901.050291787366
"ENSMUSG00000059323 "," Tonsl",898.213737721046
"ENSMUSG00000032330 "," Cox7a2",896.524932548353
"ENSMUSG00000028822 "," Tmem50a",894.348289746993
"ENSMUSG00000006024 "," Napa",892.634649204114
"ENSMUSG00000042682 "," Selk",892.581430553713
"ENSMUSG00000047139 "," Cd24a",889.473461370354
