"GENEID","SYMBOL","tpm_counts"
"ENSMUSG00000023064 "," Sncg",30489.4344137201
"ENSMUSG00000030669 "," Calca",18689.8211963164
"ENSMUSG00000024661 "," Fth1",12141.6892384887
"ENSMUSG00000001175 "," Calm1",10405.8859605
"ENSMUSG00000059412 "," Fxyd2",9792.31939337579
"ENSMUSG00000049775 "," Tmsb4x",9305.44382123744
"ENSMUSG00000014846 "," Tppp3",8710.68626796136
"ENSMUSG00000041571 "," Sepw1",8658.5653193308
"ENSMUSG00000072235 "," Tuba1a",7502.46549379098
"ENSMUSG00000030695 "," Aldoa",7083.09797562907
"ENSMUSG00000106106 "," Rn18s-rs5",5720.58128016569
"ENSMUSG00000050708 "," Ftl1",5463.45586008734
"ENSMUSG00000064370 "," mt-Cytb",5370.07679988383
"ENSMUSG00000041697 "," Cox6a1",5172.12283790051
"ENSMUSG00000028843 "," Sh3bgrl3",5171.08937560116
"ENSMUSG00000071866 "," Ppia",5092.16730467411
"ENSMUSG00000079523 "," Tmsb10",4901.76910039047
"ENSMUSG00000036438 "," Calm2",4833.66393486329
"ENSMUSG00000064339 "," mt-Rnr2",4652.67023750375
"ENSMUSG00000054428 "," Atpif1",4527.55240179575
"ENSMUSG00000027581 "," Stmn3",4520.63968730454
"ENSMUSG00000019505 "," Ubb",4182.98458827793
"ENSMUSG00000029223 "," Uchl1",4148.70808868281
"ENSMUSG00000001025 "," S100a6",4024.19884743998
"ENSMUSG00000031760 "," Mt3",3926.30700186264
"ENSMUSG00000093674 "," Rpl41",3892.60464798938
"ENSMUSG00000044285 "," Gm1821",3763.46779222835
"ENSMUSG00000027500 "," Stmn2",3699.35868092532
"ENSMUSG00000035242 "," Oaz1",3688.6795704987
"ENSMUSG00000030342 "," Cd9",3687.40496699617
"ENSMUSG00000020267 "," Hint1",3627.54453403492
"ENSMUSG00000041959 "," S100a10",3611.62921462492
"ENSMUSG00000032231 "," Anxa2",3609.02259304767
"ENSMUSG00000064341 "," mt-Nd1",3569.69361110018
"ENSMUSG00000031708 "," Tecr",3360.8653291448
"ENSMUSG00000020163 "," Uqcr11",3332.90443249015
"ENSMUSG00000036751 "," Cox6b1",3308.51472222549
"ENSMUSG00000044894 "," Uqcrq",3307.79129861594
"ENSMUSG00000095154 "," Mir344i",3299.73029268101
"ENSMUSG00000006057 "," Atp5g1",3185.93461060811
"ENSMUSG00000055839 "," Tceb2",3136.22507400937
"ENSMUSG00000057666 "," Gapdh",3116.17590540197
"ENSMUSG00000002985 "," Apoe",3088.18056000401
"ENSMUSG00000064337 "," mt-Rnr1",2942.12937127695
"ENSMUSG00000050856 "," Atp5k",2839.08169711729
"ENSMUSG00000056201 "," Cfl1",2820.11192246699
"ENSMUSG00000014313 "," Cox6c",2774.23767929028
"ENSMUSG00000029632 "," Ndufa4",2766.77378490608
"ENSMUSG00000035885 "," Cox8a",2723.98844571298
"ENSMUSG00000024608 "," Rps14",2694.75294555581
"ENSMUSG00000105031 "," Gm3511",2693.79986365752
"ENSMUSG00000071658 "," Gng3",2683.89010849819
"ENSMUSG00000102252 "," Snrpn",2681.50166229525
"ENSMUSG00000031633 "," Slc25a4",2622.41058460129
"ENSMUSG00000022956 "," Atp5o",2581.94479412451
"ENSMUSG00000023048 "," Prr13",2572.18431685287
"ENSMUSG00000006356 "," Crip2",2566.21320134551
"ENSMUSG00000027712 "," Anxa5",2517.9964436236
"ENSMUSG00000023944 "," Hsp90ab1",2515.51613410516
"ENSMUSG00000064351 "," mt-Co1",2506.44463169975
"ENSMUSG00000018286 "," Psmb6",2419.64528146877
"ENSMUSG00000025204 "," Ndufb8",2409.907770026
"ENSMUSG00000075706 "," Gpx4",2340.0686844188
"ENSMUSG00000102349 "," Gm37376",2289.3256855207
"ENSMUSG00000030666 "," Calcb",2283.02156549466
"ENSMUSG00000027447 "," Cst3",2223.82714157077
"ENSMUSG00000022055 "," Nefl",2194.76388513015
"ENSMUSG00000034892 "," Rps29",2186.25504553217
"ENSMUSG00000038690 "," Atp5j2",2128.24336179531
"ENSMUSG00000028937 "," Acot7",2101.12071789458
"ENSMUSG00000017778 "," Cox7c",2085.52692008883
"ENSMUSG00000003072 "," Atp5d",2068.17623637418
"ENSMUSG00000034566 "," Atp5h",2057.78419880849
"ENSMUSG00000057841 "," Rpl32",1970.90446817645
"ENSMUSG00000090841 "," Myl6",1965.97829788288
"ENSMUSG00000004285 "," Atp6v1f",1958.26177938106
"ENSMUSG00000007892 "," Rplp1",1949.22472571897
"ENSMUSG00000006360 "," Crip1",1947.82381015762
"ENSMUSG00000063882 "," Uqcrh",1938.95900021208
"ENSMUSG00000019874 "," Fabp7",1934.52659523932
"ENSMUSG00000019179 "," Mdh2",1926.84452548081
"ENSMUSG00000006333 "," Rps9",1905.40592422651
"ENSMUSG00000033307 "," Mif",1883.51948930916
"ENSMUSG00000038274 "," Fau",1881.31476973722
"ENSMUSG00000037152 "," Ndufc1",1867.4893407548
"ENSMUSG00000036578 "," Fxyd7",1840.19445313751
"ENSMUSG00000090137 "," Uba52",1824.32506538527
"ENSMUSG00000022450 "," Ndufa6",1820.7883277386
"ENSMUSG00000047557 "," Lxn",1751.78749488532
"ENSMUSG00000003429 "," Rps11",1749.44498034012
"ENSMUSG00000036309 "," Skp1a",1740.78686285445
"ENSMUSG00000084786 "," Ubl5",1738.77735282794
"ENSMUSG00000046727 "," Cystm1",1733.40334887132
"ENSMUSG00000009013 "," Dynll1",1728.78721726755
"ENSMUSG00000003380 "," Rabac1",1726.99588261535
"ENSMUSG00000059534 "," Uqcr10",1704.22526328633
"ENSMUSG00000093989 "," Rnasek",1689.34340617569
"ENSMUSG00000092341 "," Malat1",1672.1649661776
"ENSMUSG00000063856 "," Gpx1",1672.00420537548
"ENSMUSG00000026385 "," Dbi",1668.73157476087
"ENSMUSG00000036752 "," Tubb4b",1664.75848636559
"ENSMUSG00000028964 "," Park7",1645.00787353356
"ENSMUSG00000010376 "," Nedd8",1643.3543338546
"ENSMUSG00000069744 "," Psmb3",1641.3792725714
"ENSMUSG00000018585 "," Atox1",1636.3842047912
"ENSMUSG00000040048 "," Ndufb10",1633.12305709103
"ENSMUSG00000005161 "," Prdx2",1625.77399185121
"ENSMUSG00000025508 "," Rplp2",1621.84683511368
"ENSMUSG00000001289 "," Pfdn5",1600.53454591819
"ENSMUSG00000060143 "," Gm10076",1596.64183792397
"ENSMUSG00000026547 "," Tagln2",1588.24782747036
"ENSMUSG00000015656 "," Hspa8",1582.26522904856
"ENSMUSG00000028692 "," Akr1a1",1572.63106383573
"ENSMUSG00000033379 "," Atp6v0b",1546.07108274243
"ENSMUSG00000016319 "," Slc25a5",1538.57273961492
"ENSMUSG00000009549 "," Srp14",1534.85227533726
"ENSMUSG00000033938 "," Ndufb7",1527.3998638675
"ENSMUSG00000018770 "," Atp5g3",1507.31624651679
"ENSMUSG00000016252 "," Atp5e",1494.15682657173
"ENSMUSG00000047459 "," Dynlrb1",1461.17789630802
"ENSMUSG00000040952 "," Rps19",1460.56930184285
"ENSMUSG00000034868 "," Myl12b",1458.46792850084
"ENSMUSG00000023904 "," Hcfc1r1",1455.76944360809
"ENSMUSG00000017404 "," Rpl19",1442.39184828872
"ENSMUSG00000024953 "," Prdx5",1410.15930746343
"ENSMUSG00000035530 "," Eif1",1400.18065481748
"ENSMUSG00000032330 "," Cox7a2",1370.1413506497
"ENSMUSG00000067847 "," Romo1",1357.28048648001
"ENSMUSG00000064215 "," Ifi27",1356.06329754966
"ENSMUSG00000090223 "," Pcp4",1348.8864760264
"ENSMUSG00000037601 "," Nme1",1345.65977706954
"ENSMUSG00000028367 "," Txn1",1341.05512838021
"ENSMUSG00000033475 "," Tomm6",1339.28675955688
"ENSMUSG00000041881 "," Ndufa7",1334.25724303337
"ENSMUSG00000022658 "," Tagln3",1324.72642405048
"ENSMUSG00000021290 "," 2010107E04Rik",1319.37538592273
"ENSMUSG00000037742 "," Eef1a1",1317.99743619026
"ENSMUSG00000057322 "," Rpl38",1314.03583070942
"ENSMUSG00000019054 "," Fis1",1313.86358699286
"ENSMUSG00000025723 "," Nmb",1306.73269712734
"ENSMUSG00000074129 "," Rpl13a",1301.17496653973
"ENSMUSG00000057863 "," Rpl36",1297.97123341174
"ENSMUSG00000012848 "," Rps5",1295.02012440138
"ENSMUSG00000076233 "," Gm22761",1290.28916365324
"ENSMUSG00000027566 "," Psma7",1282.23964063274
"ENSMUSG00000001270 "," Ckb",1268.28789959151
"ENSMUSG00000063457 "," Rps15",1243.53073606486
"ENSMUSG00000018217 "," Pmp22",1232.72531357943
"ENSMUSG00000030246 "," Ldhb",1230.24500406099
"ENSMUSG00000018593 "," Sparc",1222.19548104049
"ENSMUSG00000002416 "," Ndufb2",1220.38118055941
"ENSMUSG00000028837 "," Psmb2",1219.89889815305
"ENSMUSG00000024038 "," Ndufv3",1217.7860418966
"ENSMUSG00000020153 "," Ndufs7",1199.76934914459
