FileName;Group;ShortName
GSM4255732_1_Clariom_S_Mouse_.CEL;HD;HD1
GSM4255733_4_Clariom_S_Mouse_.CEL;MM;MM1
GSM4255734_10_Clariom_S_Mouse_.CEL;HD;HD2
GSM4255735_11_Clariom_S_Mouse_.CEL;MM;MM2
GSM4255736_20_Clariom_S_Mouse_.CEL;MM;MM3
GSM4255738_14_Clariom_S_Mouse_.CEL;HD;HD3
GSM4255740_22_Clariom_S_Mouse_.CEL;HD;HD4
